n°,id,symbole,nom
1,10001,EMIRATESNBD.AE,Emirates NBD Bank PJSC
2,10002,EMAAR.AE,Emaar Properties PJSC
3,10003,DIB.AE,Dubai Islamic Bank PJSC
4,10004,DU.AE,Emirates Integrated Telecommunications Company PJSC
5,10005,EMAARDEV.AE,Emaar Development PJSC
6,10006,SALIK.AE,Salik Company PJSC
7,10007,EMPOWER.AE,Emirates Central Cooling Systems Corporation
8,10008,CBD.AE,Commercial Bank of Dubai PSC
9,10009,TECOM.AE,TECOM Group PJSC
10,10010,AIRARABIA.AE,Air Arabia PJSC
11,10011,DFM.AE,Dubai Financial Market PJSC
12,10012,TABREED.AE,National Central Cooling Company PJSC
13,10013,DIC.AE,Dubai Investments PJSC
14,10014,ALANSARI.AE,Al Ansari Financial Services PJSC
15,10015,GULFNAV.AE,Gulf Navigation Holding PJSC
16,10016,AJMANBANK.AE,Ajman Bank PJSC
17,10017,PARKIN.AE,Parkin Company PJSC
18,10018,TAALEEM.AE,Taaleem Holdings PJSC
19,10019,ARMX.AE,Aramex PJSC
20,10020,AMANAT.AE,Amanat Holdings PJSC
21,10021,DEYAAR.AE,Deyaar Development PJSC
22,10022,UPP.AE,Union Properties Public Joint Stock Company
23,10023,AMLAK.AE,Amlak Finance PJSC
24,10024,ERC.AE,Emirates Reem Investments Company PJSC
25,10025,SHUAA.AE,SHUAA Capital PSC
26,10026,DSI.AE,Drake & Scull International PJSC
27,10027,DTC.AE,Dubai Taxi Co PJSC
28,10028,SPINNEYS.AE,Spinneys 1961 Holding PLC
29,10029,PARAA,Paramount Global
30,10030,IQ.US,iQIYI Inc
31,10031,TFSL,TFS Financial Corporation
32,10032,OLK,Olink Holding AB publ
33,10033,HCM,HUTCHMED China Limited
34,10034,RUSHB.US,Rush Enterprises Inc
35,10035,ALVO,Alvotech
36,10036,CENT,Central Garden & Pet Company
37,10037,EVCM,EverCommerce Inc
38,10038,CLBK,Columbia Financial Inc
39,10039,AFYA,Afya Limited
40,10040,PTVE,Pactiv Evergreen Inc
41,10041,GCMG,Grosvenor Capital Management LP
42,10042,MNTK,Montauk Renewables Inc
43,10043,DSGR,Distribution Solutions Group Inc
44,10044,CNXN,PC Connection Inc
45,10045,ECX,ECARX Holdings Inc
46,10046,CLBT,Cellebrite DI Ltd
47,10047,HOLI,Hollysys Automation Technologies Ltd
48,10048,HSAI,Hesai Group
49,10049,SHEN,Shenandoah Telecommunications Company
50,10050,IESC,IES Holdings Inc
51,10051,MBIN,Merchants Bancorp
52,10052,WALD,Waldencast plc
53,10053,USLM,United States Lime & Minerals Inc
54,10054,SAFT,Safety Insurance Group Inc
55,10055,SRCE,1st Source Corporation
56,10056,TCBK,TriCo Bancshares
57,10057,BUSE,First Busey Corporation
58,10058,BLTE,Belite Bio Inc
59,10059,DADA,Dada Nexus Limited
60,10060,MOR.US,MorphoSys AG
61,10061,NRC,National Research Corporation
62,10062,STBA,S&T Bancorp Inc
63,10063,LION.US,Lionsgate Studios
64,10064,SP,SP Plus Corporation
65,10065,PEBO,Peoples Bancorp Inc
66,10066,TRS,TriMas Corporation
67,10067,ARCE,Arco Platform Limited
68,10068,ARKO,Arko Corp
69,10069,CMCO,Columbus McKinnon Corporation
70,10070,RBCAA,Republic Bancorp Inc
71,10071,SBSI,Southside Bancshares Inc
72,10072,BFC,Bank First Corporation
73,10073,TRNS,Transcat Inc
74,10074,LNZA,LanzaTech Global Inc
75,10075,QCRH,QCR Holdings Inc
76,10076,GABC,German American Bancorp Inc
77,10077,ARDX,Ardelyx Inc
78,10078,SLRC,SLR Investment Corp
79,10079,HSTM,HealthStream Inc
80,10080,SCSC,ScanSource Inc
81,10081,FBMS,The First Bancshares Inc
82,10082,WEST,Westrock Coffee Company
83,10083,LBAI,Lakeland Bancorp Inc
84,10084,PHVS,Pharvaris NV
85,10085,SRRK,Scholar Rock Holding Corporation
86,10086,OFLX,Omega Flex Inc
87,10087,DCOM,Dime Community Bancshares Inc
88,10088,ASTS,AST SpaceMobile Inc
89,10089,RMR,The RMR Group Inc
90,10090,BIOX,Bioceres Crop Solutions Corp
91,10091,CGBD,Carlyle Secured Lending Inc
92,10092,CRAI,CRA International Inc
93,10093,CTBI,Community Trust Bancorp Inc
94,10094,CNTA,Centessa Pharmaceuticals plc
95,10095,EXAI,Exscientia plc
96,10096,AVO,Mission Produce Inc
97,10097,PLPC,Preformed Line Products Company
98,10098,CNOB,ConnectOne Bancorp Inc
99,10099,FMBH,First Mid Bancshares Inc
