n°,id,symbole,nom
1,12501,D77.DE,Neon Equity AG
2,12502,ZYE1.DE,Addiko Bank AG
3,12503,WIG1.DE,Sporttotal AG
4,12504,MWB0.DE,mwb Fairtrade Wertpapierhandelsbank AG
5,12505,H9W.DE,HWA AG
6,12506,DMRE.DE,Demire Deutsche Mittelstand Real Estate AG
7,12507,ELB.DE,elumeo SE
8,12508,PO1.DE,Performance One AG
9,12509,OBS.DE,Orbis Se
10,12510,T9Z.DE,Zumtobel Group AG
11,12511,TR9.DE,Otrs AG
12,12512,AJ91.DE,DocCheck AG
13,12513,123F.DE,123fahrschule SE
14,12514,IS7.DE,InTiCa Systems SE
15,12515,HLG.DE,Highlight Communications AG
16,12516,P7V.DE,Photon Energy NV
17,12517,KA8.DE,Klassik Radio AG
18,12518,14D.DE,Tokentus Investment AG
19,12519,VBX.DE,Voltabox AG
20,12520,AGB2.DE,Agrana Beteiligungs AG
21,12521,NIIN.DE,niiio Finance Group AG
22,12522,1FC.DE,FACC AG
23,12523,ACWN.DE,AS Creation Tapeten AG
24,12524,DIE.DE,Dierig Holding AG
25,12525,VRL.DE,Net Digital AG
26,12526,SMWN.DE,SM Wirtschaftsberatungs AG
27,12527,MED.DE,Mediclin AG
28,12528,VG80.DE,Varengold Bank AG
29,12529,WCMK.DE,WCM Beteiligungs und Grundbesitz AG
30,12530,A6T.DE,Artec Technologies AG
31,12531,AAQ1.DE,Aap Implantate AG
32,12532,ELS.DE,Elaris AG
33,12533,UDC.DE,UniDevice AG
34,12534,EFF0.DE,Deutsche Effecten und Wechsel Beteiligungsgesellschaft AG
35,12535,M5S.DE,H2 CORE AG
36,12536,C1V0.DE,mVISE AG
37,12537,RTC.DE,Realtech AG
38,12538,S6P.DE,Spielvereinigung Unterhaching Fussball GmbH & Co KgaA
39,12539,B7J1.DE,SRV Yhtiot Oyj
40,12540,T1L.DE,S Immo AG
41,12541,GTK.DE,Tonkens Agrar AG
42,12542,Z29.DE,029 Group SE
43,12543,LRND.DE,Learnd SE
44,12544,SPM.DE,Splendid Medien AG
45,12545,EAD.DE,Erlebnis Akademie AG
46,12546,CPX.DE,Capsensixx AG
47,12547,CCAP.DE,Corestate Capital Holding SA
48,12548,CY1K.DE,Sbf AG
49,12549,O4B.DE,OVB Holding AG
50,12550,DTD2.DE,B+S Banksysteme AG
51,12551,MDN.DE,Medion AG
52,12552,A4Y0.DE,Accentro Real Estate AG
53,12553,ROI.DE,Rosenbauer International AG
54,12554,TTO.DE,TTL Beteiligungs und Grundbesitz AG
55,12555,SAV.DE,Savannah Resources Plc
56,12556,DFTK.DE,DF Deutsche Forfait AG
57,12557,TGT.DE,11 88 0 Solutions AG
58,12558,CGX.DE,Cgre AG
59,12559,PSH0.DE,Sernova Biotherapeutics Inc
60,12560,AMM.DE,Grounds Real Estate Development AG
61,12561,HMU.DE,HMS Bergbau AG
62,12562,ENGL.DE,Digital Invest eV AG
63,12563,BXT.DE,BioNxt Solutions Inc
64,12564,FF24.DE,Fast Finance 24 Holding AG
65,12565,INW.DE,GBS Software AG
66,12566,7GG.DE,SMG Technology Acceleration SE
67,12567,TLIK.DE,Teles AG
68,12568,MAK.DE,MATERNUS-Kliniken-AG
69,12569,RTV.DE,Your Family Entertainment AG
70,12570,UMD.DE,UMT United Mobility Technology AG
71,12571,PDA0.DE,Pro DV AG
72,12572,PAG.DE,PREOS Global Office Real Estate & Technology AG
73,12573,EFIT.DE,EasyMotionSkin Tec GmbH
74,12574,O5G.DE,CPI Property Group SA
75,12575,ECV1.DE,Encavis AG
76,12576,ECX.DE,Epigenomics AG
77,12577,ERWE.DE,ERWE Immobilien AG
78,12578,12578,12578
79,12579,G6P.DE,Going Public Media AG
80,12580,GTY.DE,Gateway Real Estate AG
81,12581,LDF.DE,Linus Digital Finance AG
82,12582,A62.DE,IGP Advantag AG
83,12583,T5O0.DE,bioXXmed AG
84,12584,GAGO.DE,GORE German Office Real Estate AG
85,12585,IPOK.DE,Heidelberger Beteiligungsholding AG
86,12586,COR.DE,Coreo AG
87,12587,RCMN.DE,RCM Beteiligungs AG
88,12588,HHHA.DE,Homes & Holiday AG
89,12589,ITN.DE,Intertainment AG
90,12590,VROS.DE,Verianos Se
91,12591,EXJ.DE,Readcrest Capital AG
92,12592,E8X.DE,Elexxion AG
93,12593,T3T1.DE,Seven Principles AG
94,12594,VXT.DE,Tmc Content Group AG
95,12595,12595,12595
96,12596,12596,12596
97,12597,12597,12597
98,12598,12598,12598
99,12599,12599,12599
100,12600,UNA.NV,Unilever PLC
