n°,id,symbole,nom
1,11401,CSN.L,Chesnara Plc
2,11402,ECOR.L,Ecora Royalties Plc
3,11403,SREI.L,Schroder Real Estate Inv. Tst. Ld
4,11404,VOX.L,Vox Valor Capital Ltd
5,11405,SUN.L,Surgical Innovations Group
6,11406,CNC.L,Concurrent Technologies Plc
7,11407,RENX.L,Renalytix Plc
8,11408,ACSO.L,Accesso Technology Group Plc
9,11409,MPAC.L,Mpac Group Plc
10,11410,FTC.L,Filtronic Plc
11,11411,Dormant11411,Dormant11411
12,11412,KITW.L,Kitwave Group Plc
13,11413,SML.L,Strategic Minerals Plc
14,11414,STB.L,Secure Trust Bank Plc
15,11415,FOXT.L,Foxtons Group Plc
16,11416,BPM.L,B.P. Marsh & Partners Plc
17,11417,BTG.L,BTG Consulting PLC
18,11418,QBT.L,Quantum Blockchain Technologies Plc
19,11419,TSTL.L,Tristel Plc
20,11420,BMV.L,Bluebird Merchant Ventures L
21,11421,HLCL.L,Helical Plc
22,11422,IRON.L,Ironveld Plc
23,11423,BVXP.L,Bioventix Plc
24,11424,MERC.L,Mercia Asset Management Plc
25,11425,BOD.L,Botswana Diamonds Plc
26,11426,CHAR.L,Chariot Limited
27,11427,FNTL.L,Fintel Plc
28,11428,AGFX.L,Argentex Group Plc
29,11429,MBT.L,Mobile Tornado Group Plc
30,11430,DFS.L,Dfs Furniture Plc
31,11431,I3E.L,I3 Energy Plc
32,11432,Dormant11432,Dormant11432
33,11433,GENL.L,Genel Energy Plc
34,11434,SEE.L,Seeing Machines Ld
35,11435,DUKE.L,Duke Royalty Limited
36,11436,BKS.L,Beeks Financial Cloud Group Plc
37,11437,DCI.L,Dci Advisors Ltd
38,11438,DOTD.L,Dotdigital Group Plc
39,11439,NANO.L,Nanoco Group Plc
40,11440,ENET.L,Ethernity Networks Ltd
41,11441,EAAS.L,Eenergy Group Plc
42,11442,HEAD.L,Headlam Group Plc
43,11443,PTAL.L,Petrotal Corporation
44,11444,GHH.L,Gooch & Housego Plc
45,11445,TCF.L,Theracryf PLC
46,11446,IGR.L,Ig Design Group Plc
47,11447,BOOM.L,Audioboom Group Plc
48,11448,LSL.L,Lsl Property Services Plc
49,11449,LEND.L,Sancus Lending Group Ltd
50,11450,Dormant11450,Dormant11450
51,11451,ALL.L,Atlantic Lithium Limited
52,11452,NICL.L,Nichols Plc
53,11453,ADT1.L,Adriatic Metals Plc
54,11454,UPL.L,Upland Resources Limited
55,11455,OCN.L,Ocean Wilsons Holdings Ld
56,11456,DEST.L,Destiny Pharma Plc
57,11457,TUNE.L,Focusrite Plc
58,11458,AMRQ.L,Amaroq Minerals Ltd.
59,11459,SDI.L,Sdi Group Plc
60,11460,IPF.L,International Personal Finance Plc
61,11461,TRCS.L,Tracsis Plc
62,11462,GWMO.L,Great Western Mining Corp Pl
63,11463,TRP.L,Tower Resources Plc
64,11464,JNEO.L,Journeo Plc
65,11465,TPFG.L,Property Franchise Group Plc (The)
66,11466,SSIT.L,Seraphim Space Investment Trust Plc
67,11467,GHT.L,Gresham Technologies Plc
68,11468,PSDL.L,Phoenix Spree Deutschland Limited
69,11469,MOS.L,Mobile Streams Plc
70,11470,FNX.L,Fonix Mobile Plc
71,11471,CHH.L,Churchill China Plc
72,11472,FRAN.L,Franchise Brands Plc
73,11473,SUP.L,Supreme Plc
74,11474,MILA.L,Mila Resources Plc
75,11475,BLVN.L,Bowleven Plc
76,11476,SEPL.L,Seplat Energy Plc
77,11477,APTA.L,Aptamer Group Plc
78,11478,SFR.L,Severfield Plc
79,11479,VIC.L,Victorian Plumbing Group Plc
80,11480,GCM.L,Gcm Resources Plc
81,11481,BANK.L,Fiinu Plc
82,11482,Dormant11482,Dormant11482
83,11483,JLP.L,Jubilee Metals Group Plc
84,11484,STX.L,Shield Therapeutics Plc
85,11485,POLB.L,Poolbeg Pharma Plc
86,11486,OMG.L,Oxford Metrics Plc
87,11487,Dormant11487,Dormant11487
88,11488,GFM.L,Griffin Mining Ld
89,11489,ANIC.L,Agronomics Limited
90,11490,PRV.L,Porvair Plc
91,11491,KOO.L,Kooth Plc
92,11492,BZT.L,Bezant Resources Plc
93,11493,DLAR.L,De La Rue Plc
94,11494,BRK.L,Brooks Macdonald Group Plc
95,11495,REVB.L,Revolution Beauty Group Plc
96,11496,GOOD.L,Good Energy Group Plc
97,11497,MIDW.L,Midwich Group Plc
98,11498,NXQ.L,Nexteq Plc
99,11499,KGH.L,Knights Group Holdings Plc
100,11500,PBEE.L,Pensionbee Group Plc
