n°,id,symbole,nom
1,5401,5401,5401
2,5402,5402,5402
3,5403,5403,5403
4,5404,5404,5404
5,5405,5405,5405
6,5406,5406,5406
7,5407,5407,5407
8,5408,5408,5408
9,5409,5409,5409
10,5410,5410,5410
11,5411,5411,5411
12,5412,5412,5412
13,5413,5413,5413
14,5414,5414,5414
15,5415,5415,5415
16,5416,ITT,ITT Inc
17,5417,5417,5417
18,5418,5418,5418
19,5419,5419,5419
20,5420,5420,5420
21,5421,KEX,Kirby Corp
22,5422,5422,5422
23,5423,5423,5423
24,5424,5424,5424
25,5425,5425,5425
26,5426,5426,5426
27,5427,5427,5427
28,5428,5428,5428
29,5429,5429,5429
30,5430,5430,5430
31,5431,5431,5431
32,5432,5432,5432
33,5433,5433,5433
34,5434,5434,5434
35,5435,5435,5435
36,5436,5436,5436
37,5437,5437,5437
38,5438,5438,5438
39,5439,5439,5439
40,5440,5440,5440
41,5441,5441,5441
42,5442,5442,5442
43,5443,5443,5443
44,5444,5444,5444
45,5445,5445,5445
46,5446,5446,5446
47,5447,5447,5447
48,5448,RKT,Rocket Companies Inc
49,5449,5449,5449
50,5450,5450,5450
51,5451,5451,5451
52,5452,FOUR,Shift4 Payments Inc
53,5453,5453,5453
54,5454,5454,5454
55,5455,5455,5455
56,5456,5456,5456
57,5457,5457,5457
58,5458,5458,5458
59,5459,5459,5459
60,5460,5460,5460
61,5461,5461,5461
62,5462,5462,5462
63,5463,5463,5463
64,5464,5464,5464
65,5465,5465,5465
66,5466,5466,5466
67,5467,5467,5467
68,5468,5468,5468
69,5469,5469,5469
70,5470,5470,5470
71,5471,5471,5471
72,5472,5472,5472
73,5473,5473,5473
74,5474,5474,5474
75,5475,5475,5475
76,5476,5476,5476
77,5477,5477,5477
78,5478,5478,5478
79,5479,5479,5479
80,5480,5480,5480
81,5481,5481,5481
82,5482,5482,5482
83,5483,5483,5483
84,5484,5484,5484
85,5485,5485,5485
86,5486,5486,5486
87,5487,5487,5487
88,5488,5488,5488
89,5489,5489,5489
90,5490,5490,5490
91,5491,ASX,ASE Technology Holding -ADR
92,5492,5492,5492
93,5493,5493,5493
94,5494,5494,5494
95,5495,5495,5495
96,5496,5496,5496
97,5497,5497,5497
98,5498,5498,5498
99,5499,5499,5499
100,5500,PLUS.L,PLUS 500 LTD
101,5501,CMCX,CMC MARKETS PLC
102,5502,GCAP,GAIN CAPITAL HOLDINGS LTD
103,5503,FVRR,Fiverr International 
104,5504,WORK,Slack Technologies Inc
105,5505,CHWY,Chewy
106,5506,CRWD,Crowdstrike Holdings
107,5507,FTCHQ,Farfetch
108,5508,ACX.MC,Acerinox SA
109,5509,AENA.MC,Aena SME
110,5510,ALM.MC,Laboratorios Almirall SA
111,5511,5511,5511
112,5512,APPS.MC,Applus Services SA
113,5513,5513,5513
114,5514,5514,5514
115,5515,5515,5515
116,5516,5516,5516
117,5517,5517,5517
118,5518,ENC.MC,Ence Energia Y Celulosa SA
119,5519,5519,5519
120,5520,5520,5520
121,5521,5521,5521
122,5522,5522,5522
123,5523,GEST.MC,Gestamp Automocion
124,5524,5524,5524
125,5525,5525,5525
126,5526,LOG.MC,Compania de Distribucion Integral Logista Holdings
127,5527,MAS.MC,Masmovil Ibercom SA
128,5528,MEL.MC,Melia Hotels International SA
129,5529,5529,5529
130,5530,5530,5530
131,5531,5531,5531
132,5532,5532,5532
133,5533,PHM.MC,Pharma Mar SA
134,5534,PSG.MC,Prosegur Compania de Seguridad SA
135,5535,5535,5535
136,5536,5536,5536
137,5537,5537,5537
138,5538,5538,5538
139,5539,5539,5539
140,5540,5540,5540
141,5541,5541,5541
142,5542,UNI.MC,Unicaja Banco SA
143,5543,5543,5543
144,5544,VIS.MC,Viscofan SA
145,5545,5545,5545
146,5546,5546,5546
147,5547,5547,5547
148,5548,5548,5548
149,5549,5549,5549
150,5550,5550,5550
151,5551,5551,5551
152,5552,5552,5552
153,5553,5553,5553
154,5554,5554,5554
155,5555,5555,5555
156,5556,5556,5556
157,5557,5557,5557
158,5558,5558,5558
159,5559,5559,5559
160,5560,AKA.PA,Akka Technologies
161,5561,DBV.PA,DBV Technologies
162,5562,5562,5562
163,5563,5563,5563
164,5564,5564,5564
165,5565,5565,5565
166,5566,5566,5566
167,5567,IRE.MI,Iren
168,5568,5568,5568
169,5569,MAERSKB.CO,A P Moller Maersk
170,5570,5570,5570
171,5571,HIAB.HE,Hiab Oyj
172,5572,DNA.HE,DNA Oyj
173,5573,HUH1V.HE,Huhtamaki Oyj
174,5574,5574,5574
175,5575,5575,5575
176,5576,METSB.HE,Metsa Board
177,5577,5577,5577
178,5578,NOKIA.HE,Nokia Corp.
179,5579,5579,5579
180,5580,OUT1V.HE,Outokumpu Oyj
181,5581,METSO.HE,Metso Corporation
182,5582,5582,5582
183,5583,5583,5583
184,5584,5584,5584
185,5585,5585,5585
186,5586,5586,5586
187,5587,5587,5587
188,5588,5588,5588
189,5589,5589,5589
190,5590,5590,5590
191,5591,AMS.ZU,Ams AG
192,5592,LAND.ZU,Landis+Gyr Group AG
193,5593,UBXN.ZU,u-blox Holding AG
194,5594,5594,5594
195,5595,5595,5595
196,5596,DAE.ZU,Daetwyler Holding AG
197,5597,5597,5597
198,5598,SRAIL.ZU,Stadler Rail AG
199,5599,5599,5599
200,5600,5600,5600
