n°,id,symbole,nom
1,10201,THFF,First Financial Corporation
2,10202,SRDX,Surmodics Inc
3,10203,PGC,Peapack-Gladstone Financial Corporation
4,10204,EWTX,Edgewise Therapeutics Inc
5,10205,IBCP,Independent Bank Corporation
6,10206,AMNB,American National Bankshares Inc
7,10207,BWMN,Bowman Consulting Group Ltd
8,10208,NFBK,Northfield Bancorp Inc
9,10209,WASH,Washington Trust Bancorp Inc
10,10210,GHRS,GH Research PLC
11,10211,NAMM,Namib Minerals
12,10212,BTMD,biote Corp
13,10213,LASR,nLIGHT Inc
14,10214,LOT,Lotus Technology Inc
15,10215,NBN,Northeast Bank
16,10216,IMNM,Immunome Inc
17,10217,CCNE,CNB Financial Corporation
18,10218,MONDQ,Mondee Holdings Inc
19,10219,ESQ,Esquire Financial Holdings Inc
20,10220,LGTY,Logility Supply Chain Solution
21,10221,NTGR,NETGEAR Inc
22,10222,AIRS,AirSculpt Technologies Inc
23,10223,CGEM,Cullinan Oncology Inc
24,10224,FFIC,Flushing Financial Corporation
25,10225,BTDR,Bitdeer Technologies Group
26,10226,HRZN,Horizon Technology Finance Corporation
27,10227,ACTG,Acacia Research Corporation
28,10228,ORIC,ORIC Pharmaceuticals Inc
29,10229,AROW,Arrow Financial Corporation
30,10230,ALRS,Alerus Financial Corporation
31,10231,ALXO,ALX Oncology Holdings Inc
32,10232,SHBI,Shore Bancshares Inc
33,10233,BHRB,Burke & Herbert Financial Services Corp
34,10234,SPRY,ARS Pharmaceuticals Inc
35,10235,HIFS,Hingham Institution for Savings
36,10236,MLYS,Mineralys Therapeutics Inc
37,10237,MPB,Mid Penn Bancorp Inc
38,10238,ONEW,OneWater Marine Inc
39,10239,PNTG,The Pennant Group Inc
40,10240,DSP,Viant Technology Inc
41,10241,ACIC,American Coastal Insurance Corporation
42,10242,LIND,Lindblad Expeditions Holdings Inc
43,10243,OSPN,OneSpan Inc
44,10244,MGNX,MacroGenics Inc
45,10245,MTLS,Materialise NV
46,10246,LUNG,Pulmonx Corporation
47,10247,ICVX,Icosavax Inc
48,10248,GRCL,Gracell Biotechnologies Inc
49,10249,ALTO,Alto Ingredients Inc
50,10250,SPOK,Spok Holdings Inc
51,10251,AVNW,Aviat Networks Inc
52,10252,IBEX,IBEX Limited
53,10253,PKOH,Park-Ohio Holdings Corp
54,10254,AURA,Aura Biosciences Inc
55,10255,CGNT,Cognyte Software Ltd
56,10256,JANX,Janux Therapeutics Inc
57,10257,UTMD,Utah Medical Products Inc
58,10258,GOCO,GoHealth Inc
59,10259,NWPX.US,Northwest Pipe Company
60,10260,TRHC,Tabula Rasa HealthCare Inc
61,10261,JBIO,Jade Biosciences Inc
62,10262,BMRC,Bank of Marin Bancorp
63,10263,PANL,Pangaea Logistics Solutions Ltd
64,10264,KALV,KalVista Pharmaceuticals Inc
65,10265,LSEA,Landsea Homes Corporation
66,10266,ANIK,Anika Therapeutics Inc
67,10267,OKUR,OnKure Therapeutics Inc
68,10268,PRLH,Pearl Holdings Acquisition Corp
69,10269,CVRX,CVRx Inc
70,10270,INSE,Inspired Entertainment Inc
71,10271,LINC,Lincoln Educational Services Corporation
72,10272,REFI,Chicago Atlantic Real Estate Finance Inc
73,10273,NATH,Nathans Famous Inc
74,10274,LMNR.US,Limoneira Company
75,10275,IGMS,IGM Biosciences Inc
76,10276,ZURA,Zura Bio Limited
77,10277,AVIR,Atea Pharmaceuticals Inc
78,10278,FDBC,Fidelity D & D Bancorp Inc
79,10279,CARE,Carter Bankshares Inc
80,10280,OBT,Orange County Bancorp Inc
81,10281,VNDA,Vanda Pharmaceuticals Inc
82,10282,PLAOF,Patria Latin American Opportunity Acquisition Corp
83,10283,PBPB,Potbelly Corporation
84,10284,FISI,Financial Institutions Inc
85,10285,WLDN,Willdan Group Inc
86,10286,FLIC,The First of Long Island Corporation
87,10287,CVGI,Commercial Vehicle Group Inc
88,10288,YMAB,Y-mAbs Therapeutics Inc
89,10289,SKYT,SkyWater Technology Inc
90,10290,MGTX,MeiraGTx Holdings plc
91,10291,CBUS,Cibus Inc
92,10292,LFMD,LifeMD Inc
93,10293,FSBW,FS Bancorp Inc
94,10294,CELC,Celcuity Inc
95,10295,SMTI,Sanara MedTech Inc
96,10296,CZFS,Citizens Financial Services Inc
97,10297,AUDC.US,AudioCodes Ltd
98,10298,TSBK,Timberland Bancorp Inc
99,10299,ATLX,Atlas Lithium Corporation
100,10300,NRIM,Northrim BanCorp Inc
101,10301,FRGI,Fiesta Restaurant Group Inc
102,10302,AFCG,AFC Gamma Inc
103,10303,NECB,Northeast Community Bancorp Inc
104,10304,CLAR,Clarus Corporation
105,10305,NRIX,Nurix Therapeutics Inc
106,10306,WSBF,Waterstone Financial Inc
107,10307,IMMR,Immersion Corporation
108,10308,LFCR,Lifecore Biomedical Inc
109,10309,VOXX,VOXX International Corporation
110,10310,TBRG,TruBridge Inc
111,10311,SCPH,scPharmaceuticals Inc
112,10312,DSKE,Daseke Inc
113,10313,ASUR,Asure Software Inc
114,10314,SMLR,Semler Scientific Inc
115,10315,CTRN,Citi Trends Inc
116,10316,PMTS,CPI Card Group Inc
117,10317,AIP,Arteris Inc
118,10318,PRTS,CarPartscom Inc
119,10319,ZIMV,ZimVie Inc
120,10320,PDLB,Ponce Financial Group Inc
121,10321,GASS,StealthGas Inc
122,10322,TCX,Tucows Inc
123,10323,OPRT,Oportun Financial Corporation
124,10324,PITEF,Heramba Electric Plc
125,10325,BLZE,Backblaze Inc
126,10326,HOFT,Hooker Furnishings Corporation
127,10327,EGRX,Eagle Pharmaceuticals Inc
128,10328,IVCAF,Investcorp India Acquisition Corp
129,10329,MACK,Merrimack Pharmaceuticals Inc
130,10330,ATXS,Astria Therapeutics Inc
131,10331,KLXE,KLX Energy Services Holdings Inc
132,10332,MASS,908 Devices Inc
133,10333,CRMD,CorMedix Inc
134,10334,ATOM.US,Atomera Incorporated
135,10335,CTG,Computer Task Group Incorporated
136,10336,JAKK,JAKKS Pacific Inc
137,10337,BGFV,Big 5 Sporting Goods Corporation
138,10338,VABK,Virginia National Bankshares Corporation
139,10339,RGCO,RGC Resources Inc
140,10340,RELL,Richardson Electronics Ltd
141,10341,IMRX,Immuneering Corporation
142,10342,IPX,IperionX Limited
143,10343,RCMT,RCM Technologies Inc
144,10344,STOK,Stoke Therapeutics Inc
145,10345,NVCT,Nuvectis Pharma Inc
146,10346,ZVRA,Zevra Therapeutics Inc
147,10347,STHO,Star Holdings
148,10348,INVE,Identiv Inc
149,10349,KRNL,Kernel Group Holdings Inc
150,10350,VRCA,Verrica Pharmaceuticals Inc
151,10351,RPTX,Repare Therapeutics Inc
152,10352,TELA,TELA Bio Inc
153,10353,MAMA,Mamas Creations Inc
154,10354,INBK,First Internet Bancorp
155,10355,NKSH,National Bankshares Inc
156,10356,MPAA,Motorcar Parts of America Inc
157,10357,OPRX,OptimizeRx Corporation
158,10358,CLPT,ClearPoint Neuro Inc
159,10359,CMBM,Cambium Networks Corporation
160,10360,LBPH,Longboard Pharmaceuticals Inc
161,10361,JGGC,Jaguar Global Growth Corporation I
162,10362,FLL,Full House Resorts Inc
163,10363,PDSB,PDS Biotechnology Corporation
164,10364,ULBI,Ultralife Corporation
165,10365,JYNT,The Joint Corp
166,10366,UPLD,Upland Software Inc
167,10367,RDNW,RideNow Group Inc
168,10368,HWEL,Healthwell Acquisition Corp I
169,10369,WHWK,Whitehawk Therapeutics Inc
170,10370,SILC,Silicom Ltd
171,10371,RAIN,Rain Enhancement Technologies Holdco Inc
172,10372,TZOO,Travelzoo
173,10373,JHX,James Hardie Industries plc
174,10374,BCH.US,Banco de Chile
175,10375,KEP,Korea Electric Power Corporation
176,10376,WF,Woori Financial Group Inc
177,10377,PHI,PLDT Inc
178,10378,UGP,Ultrapar Participações SA
179,10379,TKC,Turkcell Iletisim Hizmetleri AS
180,10380,INST,Instructure Holdings Inc
181,10381,GEF.B,Greif Inc
182,10382,HGTY,Hagerty Inc
183,10383,IFS,Intercorp Financial Services Inc
184,10384,EVEX,Eve Holding Inc
185,10385,AMBP,Ardagh Metal Packaging SA
186,10386,PAY.US,Paymentus Holdings Inc
187,10387,CAAP,Corporación América Airports SA
188,10388,SGHC,Super Group SGHC Limited
189,10389,TGS.US,Transportadora de Gas del Sur SA
190,10390,AMK,AssetMark Financial Holdings Inc
191,10391,GETY,Getty Images Holdings Inc
192,10392,VVX,V2X Inc
193,10393,SWI,SolarWinds Corporation
194,10394,CMTG,Claros Mortgage Trust Inc
195,10395,SHCO,Soho House & Co Inc
196,10396,CTOS,Custom Truck One Source Inc
197,10397,MLNK,MeridianLink Inc
198,10398,CODI,Compass Diversified
199,10399,TARO,Taro Pharmaceutical Industries Ltd
200,10400,GIC,Global Industrial Company
201,10401,STEL,Stellar Bancorp Inc
202,10402,CDRE,Cadre Holdings Inc
203,10403,NIC,Nicolet Bankshares Inc
204,10404,NHC,National HealthCare Corporation
205,10405,FBRT,Franklin BSP Realty Trust Inc
206,10406,CVII,Churchill Capital Corp VII
207,10407,CEPU,Central Puerto SA
208,10408,BCSF,Bain Capital Specialty Finance Inc
209,10409,AHRT,AH Realty Trust Inc
210,10410,OBK,Origin Bancorp Inc
211,10411,REVG,REV Group Inc
212,10412,BRDG,Bridge Investment Group Holdings Inc
213,10413,NX,Quanex Building Products Corporation
214,10414,BHE,Benchmark Electronics Inc
215,10415,GRNT,Granite Ridge Resources Inc
216,10416,ACEL,Accel Entertainment Inc
217,10417,BY,Byline Bancorp Inc
218,10418,BFS,Saul Centers Inc
219,10419,YALA,Yalla Group Limited
220,10420,LZM,Lifezone Metals Limited
221,10421,GRC.US,The Gorman-Rupp Company
222,10422,BLX,Banco Latinoamericano de Comercio Exterior S A
223,10423,SCU,Sculptor Capital Management Inc
224,10424,NOAH,Noah Holdings Limited
225,10425,UTL,Unitil Corporation
226,10426,VTOL,Bristow Group Inc
227,10427,DRD,DRDGOLD Limited
228,10428,CSR,Centerspace
229,10429,KOP,Koppers Holdings Inc
230,10430,NEXA,Nexa Resources SA
231,10431,TMP,Tompkins Financial Corporation
232,10432,LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima
233,10433,DCO,Ducommun Incorporated
234,10434,SMP.US,Standard Motor Products Inc
235,10435,AAC,Ares Acquisition Corporation
236,10436,HY,Hyster-Yale Materials Handling Inc
237,10437,TDCX,TDCX Inc
238,10438,HRT,HireRight Holdings Corporation
239,10439,CBL.US,CBL & Associates Properties Inc
240,10440,BV.US,BrightView Holdings Inc
241,10441,REX,REX American Resources Corporation
242,10442,PLOW,Douglas Dynamics Inc
243,10443,TK,Teekay Corporation
244,10444,REPX,Riley Exploration Permian Inc
245,10445,MYE,Myers Industries Inc
246,10446,MAX,MediaAlpha Inc
247,10447,CINT,CI&T Inc
248,10448,NPKI,Newpark Resources Inc
249,10449,AMTB,Amerant Bancorp Inc
250,10450,AGX,Argan Inc
251,10451,GPRK,GeoPark Limited
252,10452,CLW,Clearwater Paper Corporation
253,10453,WOW,WideOpenWest Inc
254,10454,BVH,Bluegreen Vacations Holding Corporation
255,10455,EBF,Ennis Inc
256,10456,IIIN,Insteel Industries Inc
257,10457,GNE,Genie Energy Ltd
258,10458,CION,CION Investment Corporation
259,10459,KAMN,Kaman Corporation
260,10460,NPK,National Presto Industries Inc
261,10461,AORT,Artivion Inc
262,10462,FC,Franklin Covey Co
263,10463,WSR,Whitestone REIT
264,10464,MCS.US,The Marcus Corporation
265,10465,IRS,IRSA Inversiones y Representaciones Sociedad Anónima
266,10466,ACCO,ACCO Brands Corporation
267,10467,EGY,VAALCO Energy Inc
268,10468,BOC,Boston Omaha Corporation
269,10469,ARISold,Aris Water Solutions Inc
270,10470,SRI,Stoneridge Inc
271,10471,TRTLF,TortoiseEcofin Acquisition Corp III
272,10472,UVE,Universal Insurance Holdings Inc
273,10473,TRTX,TPG RE Finance Trust Inc
274,10474,HVT,Haverty Furniture Companies Inc
275,10475,CPF,Central Pacific Financial Corp
276,10476,SEI.US,Solaris Energy Infrastructure
277,10477,VPG,Vishay Precision Group Inc
278,10478,MLR,Miller Industries Inc
279,10479,CRD.A,Crawford & Company
280,10480,DESP,Despegarcom Corp
281,10481,ODC,Oil-Dri Corporation of America
282,10482,JILL,JJill Inc
283,10483,OLP,One Liberty Properties Inc
284,10484,MPX,Marine Products Corporation
285,10485,SMHI,SEACOR Marine Holdings Inc
286,10486,EQBK,Equity Bancshares Inc
287,10487,SB,Safe Bulkers Inc
288,10488,TPB,Turning Point Brands Inc
289,10489,BHB,Bar Harbor Bankshares
290,10490,OSG.US,Overseas Shipholding Group Inc
291,10491,XPER,Xperi Inc
292,10492,CTO,CTO Realty Growth Inc
293,10493,OPY,Oppenheimer Holdings Inc
294,10494,SBDS,Solo Brands Inc
295,10495,DSX,Diana Shipping Inc
296,10496,RRACF,Rigel Resource Acquisition Corp
297,10497,TBI,TrueBlue Inc
298,10498,MBI,MBIA Inc
299,10499,TPVG,TriplePoint Venture Growth BDC Corp
300,10500,GATO,Gatos Silver Inc
