n°,id,symbole,nom
1,11601,CBOX.L,Cake Box Holdings Plc
2,11602,MBH.L,Michelmersh Brick Hldgs Plc
3,11603,PXC.L,Phoenix Copper Limited
4,11604,XAR.L,Xaar Plc
5,11605,TMIP.L,Taylor Maritime Investments Limited
6,11606,11606,11606
7,11607,SCE.L,Surface Transforms Plc
8,11608,ASTO.L,Assetco Plc
9,11609,CLBS.L,Celebrus Technologies Plc
10,11610,SRT.L,Srt Marine Systems Plc
11,11611,ANX.L,Anexo Group Plc
12,11612,ELIX.L,Elixirr International Plc
13,11613,RUA.L,Rua Life Sciences Plc
14,11614,AMGO.L,Amigo Holdings Plc
15,11615,EMAN.L,Everyman Media Group Plc
16,11616,Dormant11616,Dormant11616
17,11617,MTL.L,Metals Exploration Plc
18,11618,BILN.L,Billington Holdings Plc
19,11619,EUA.L,Eurasia Mining Plc
20,11620,ARK.L,Arkle Resources Plc
21,11621,PEEL.L,Peel Hunt Limited
22,11622,WNWD.L,Windward Ltd
23,11623,CLAI.L,Cellular Goods Plc
24,11624,RKH.L,Rockhopper Exploration Plc
25,11625,SDG.L,Sanderson Design Group Plc
26,11626,HUW.L,Helios Underwriting Plc
27,11627,KINO.L,Kinovo Plc
28,11628,Dormant11628,Dormant11628
29,11629,VLG.L,Venture Life Group Plc
30,11630,HELD.L,Hellenic Dynamics Plc
31,11631,AAZ.L,Anglo Asian Mining Plc
32,11632,FLO.L,Flowtech Fluidpower Plc
33,11633,BVC.L,Batm Advanced Communications Ld
34,11634,ONDO.L,Ondo Insurtech Plc
35,11635,CCT.L,Character Group Plc
36,11636,LBG.L,Lbg Media Plc
37,11637,SIS.L,Science In Sport Plc
38,11638,OMU.L,Old Mutual Limited
39,11639,HARL.L,Harland & Wolff Group Holdings Plc
40,11640,MACA.L,Mac Alpha Ltd
41,11641,KMK.L,Kromek Group Plc
42,11642,Dormant11642,Dormant11642
43,11643,GBP.L,Global Petroleum Ltd
44,11644,RCN.L,Redcentric Plc
45,11645,SUS.L,S & U Plc
46,11646,TRB.L,Tribal Group Plc
47,11647,HPAC.L,Hermes Pacific Investments P
48,11648,REC.L,Record Plc
49,11649,CNR.L,Condor Gold Plc
50,11650,ZPHR.L,Zephyr Energy Plc
51,11651,HUM.L,Hummingbird
52,11652,SAV.L,Savannah Resources Plc
53,11653,ORCP.L,Oracle Power Plc
54,11654,DXRX.L,Diaceutics Plc
55,11655,DIA.L,Dialight Plc
56,11656,DELT.L,Deltic Energy Plc
57,11657,IGP.L,Intercede Group Plc
58,11658,Dormant11658,Dormant11658
59,11659,ARBB.L,Arbuthnot Banking Group Plc
60,11660,BSFA.L,Bsf Enterprise Plc
61,11661,PPHC.L,"Public Policy Holding Company, Inc."
62,11662,KEN.L,Kendrick Resources Plc
63,11663,APTD.L,Aptitude Software Group Plc
64,11664,FVA.L,Fevara PLC
65,11665,EAH.L,Eco Animal Health Group Plc
66,11666,SYS1.L,System1 Group Plc
67,11667,EKF.L,Ekf Diagnostics Holdings Plc
68,11668,VNET.L,Vianet Group Plc
69,11669,SAG.L,Science Group Plc
70,11670,BBSN.L,Brave Bison Group Plc
71,11671,SNX.L,Synectics Plc
72,11672,TIR.L,Tiger Royalties And Investme
73,11673,AEET.L,Aquila Energy Efficiency Trust Plc
74,11674,CPH2.L,Clean Power Hydrogen Plc
75,11675,ECO.L,Eco (Atlantic) Oil & Gas Ltd
76,11676,WSL.L,Worldsec Ltd
77,11677,ZNWD.L,Zinnwald Lithium Plc
78,11678,TPT.L,Topps Tiles Plc
79,11679,DFCH.L,Distribution Finance Capital Holdin
80,11680,AQX.L,Aquis Exchange Plc
81,11681,TENG.L,Ten Lifestyle Group Plc
82,11682,TRT.L,Transense Technologies Plc
83,11683,PODP.L,Pod Point Group Holdings Plc
84,11684,FOG.L,Falcon Oil & Gas Ltd.
85,11685,POS.L,Plexus Holdings Plc
86,11686,MEX.L,Tortilla Mexican Grill Plc
87,11687,CLX.L,Calnex Solutions Plc
88,11688,AIRE.L,Alternative Income Reit Plc
89,11689,TRU.L,Trufin Plc
90,11690,MRK.L,Marks Electrical Group Plc
91,11691,HRN.L,Hornby Plc
92,11692,VLE.L,Volvere Plc
93,11693,RBW.L,Rainbow Rare Earths Limited
94,11694,CAV.L,Cavendish Financial Plc
95,11695,ZIOC.L,Zanaga Iron
96,11696,NWF.L,Nwf Group Plc
97,11697,CYAN.L,Cyanconnode Holdings Plc
98,11698,TMO.L,Time Out Group Plc
99,11699,BIRD.L,Blackbird Plc
100,11700,SBTX.L,Skinbiotherapeutics Plc
