n°,id,symbole,nom
1,2201,UMBF,UMB Financial Corp
2,2202,VET.US,Vermilion Energy
3,2203,DTG.DE,Daimler Truck Holding AG
4,2204,UCB,United Community Banks Inc
5,2205,CBSH,Commerce Bancshares Inc
6,2206,CUBI,Customers Bancorp Inc
7,2207,ERF,Enerplus Corp
8,2208,FFIN,First Financial Bankshares Inc
9,2209,UBSI,United Bankshares Inc/WV
10,2210,2210,2210
11,2211,AKSO.OL,Aker Solutions
12,2212,BWLPG.OL,BW LPG
13,2213,DNB.OL,DNB Bank ASA
14,2214,DNO.OL,DNO ASA
15,2215,FOE.OL,Fred. Olsen Energy
16,2216,GJF.OL,Gjensidige Forsikring
17,2217,GOGL.OL,Golden Ocean Group
18,2218,MOWI.OL,Mowi ASA
19,2219,NHY.OL,Norsk Hydro
20,2220,NAS.OL,Norwegian Air Shuttle
21,2221,2221,2221
22,2222,ORK.OL,Orkla
23,2223,PGS.OL,Petroleum Geo-Services
24,2224,PRS.OL,Prosafe
25,2225,NCH2.DE,Thyssenkrupp Nucera
26,2226,STB.OL,Storebrand
27,2227,SUBC.OL,Subsea 7
28,2228,TEL.OL,Telenor
29,2229,TGS.OL,TGS-NOPEC
30,2230,YAR.OL,Yara International
31,2231,ERIC-A.ST,Telefonaktiebolaget LM Ericsson
32,2232,TELIA.ST,Telia Company AB
33,2233,NDA_SE.ST,Nordea Bank AB
34,2234,VOLV-A.ST,Volvo AB ser. A
35,2235,SEB-A.ST,Skandinaviska Enskilda Banken ser. A
36,2236,SAND.ST,Sandvik AB
37,2237,HM-B.ST,"Hennes & Mauritz AB, H & M ser. B"
38,2238,CEBP.DE11,iShares VII PLC - iShares MSCI EMU USD Hedged UCITS ETF11
39,2239,SHB-A.ST,Svenska Handelsbanken ser. A
40,2240,SKF-A.ST,"SKF, AB ser. A"
41,2241,SWED-A.ST,Swedbank AB ser A
42,2242,ASSA-B.ST,ASSA ABLOY AB ser. B
43,2243,ATCO-A.ST,Atlas Copco AB ser. A
44,2244,BOL.ST,Boliden AB
45,2245,2245,2245
46,2246,ALFA.ST,Alfa Laval AB
47,2247,2247,2247
48,2248,SECU-B.ST,Securitas AB ser. B
49,2249,SKA-B.ST,Skanska AB ser. B
50,2250,INVE-A.ST,Investor AB ser. A
51,2251,ORRON.ST,Orron Energy AB
52,2252,TREL-B.ST,Trelleborg AB ser. B
53,2253,SWMA.ST,Swedish Match AB
54,2254,HEXA-B.ST,Hexagon AB ser. B
55,2255,2255,2255
56,2256,ICA.ST,ICA Gruppen AB
57,2257,INDU-A.ST,"Industrivärden, AB ser. A"
58,2258,LUND-B.ST,"Lundbergföretagen AB, L E ser. B"
59,2259,KTN.DE,Kontron AG
60,2260,NOVO-B.CO,Novo Nordisk B A/S
61,2261,DANSKE.CO,Danske Bank A/S
62,2262,ORSTED.CO,Orsted A/S
63,2263,VWS.CO,Vestas Wind Systems A/S
64,2264,NSIS-B.CO,Novonesis B
65,2265,PNDORA.CO,Pandora A/S
66,2266,TRYG.CO,Tryg A/S
67,2267,DSV.CO,DSV A/S
68,2268,DEMANT.CO, Demant A/S
69,2269,ISS.CO,ISS A/S
70,2270,HLUNB.CO,H. Lundbeck A/S
71,2271,GMAB.CO,Genmab A/S
72,2272,COLO-B.CO,Coloplast B A/S
73,2273,2273,2273
74,2274,CHR.CO,Chr. Hansen Holding A/S
75,2275,2275,2275
76,2276,CEMG.DE11,iShares MSCI EM Consumer Growth UCITS ETF11
77,2277,NDA1V.HE,Nordea Bank AB 
78,2278,SSABAH.HE,SSAB AB ser. A
79,2279,2279,2279
80,2280,FORTUM.HE,Fortum Oyj
81,2281,UPM.HE,UPM-Kymmene Oyj
82,2282,NESTE.HE,Neste Oyj
83,2283,KNEBV.HE,KONE Oyj
84,2284,SAMPO.HE,Sampo Oyj A
85,2285,ELISA.HE,Elisa Oyj
86,2286,TYRES.HE,Nokian Renkaat Oyj
87,2287,WRT1V.HE,Wärtsilä Oyj Abp
88,2288,2288,2288
89,2289,HWC,Hancock Whitney Corp
90,2290,IMO,Imperial Oil Ltd.
91,2291,TFIN,Triumph Financial Inc
92,2292,WHD,Cactus
93,2293,DCP,DCP Midstream LP
94,2294,BOKF,BOK Financial Corp
95,2295,GBCI,Glacier Bancorp Inc
96,2296,CBU,Community Bank System Inc
97,2297,NEX,NexTier Oilfield Solutions Inc
98,2298,CVBF,CVB Financial Corp
99,2299,FULT,Fulton Financial Corp
100,2300,0939.HK,China Construction Bank
101,2301,3988.HK,Bank of China
102,2302,1398.HK,Industrial And Commercial Bank of China
103,2303,1288.HK,Agricultural Bank of China
104,2304,0386.HK,China Petroleum & Chemical Corporation
105,2305,0883.HK,Cnooc
106,2306,2007.HK,Country Garden
107,2307,0998.HK,China Citic Bank
108,2308,1988.HK,China Minsheng Bank
109,2309,1339.HK,People's Insurance Company (Group) of China
110,2310,3323.HK,China National Building Material
111,2311,1359.HK,China Cinda Asset Management Co Ltd
112,2312,0992.HK,Lenovo Group
113,2313,1088.HK,China Shenhua
114,2314,1171.HK,Yanzhou Coal
115,2315,1800.HK,China Communications Construction
116,2316,2318.HK,Ping An Insurance
117,2317,3800.HK,GCL Technology Holdings Ltd
118,2318,0902.HK,Huaneng Power International Inc (HK)
119,2319,2328.HK,Picc Property And Casualty
120,2320,0762.HK,China Unicom HK
121,2321,0728.HK,China Telecom
122,2322,1816.HK,CGN Power Co Ltd
123,2323,2899.HK,Zijin Mining
124,2324,2628.HK,China Life Insurance (HK)
125,2325,1898.HK,China Coal Energy
126,2326,0494.HK,Li & Fung Ltd
127,2327,3328.HK,Bank of Communications
128,2328,0753.HK,Air China
129,2329,0968.HK,Xinyi Solar Holdings Ltd
130,2330,0688.HK,China Overseas Land & Investment
131,2331,2333.HK,Great Wall Motor
132,2332,2883.HK,China Oilfield
133,2333,0916.HK,China Longyuan
134,2334,1299.HK,AIA Group Ltd
135,2335,0390.HK,China Railway Group
136,2336,2338.HK,Weichai Power
137,2337,2601.HK,China Pacific Insurance
138,2338,3968.HK,China Merchants Bank
139,2339,0700.HK,Tencent
140,2340,2238.HK,Guangzhou Automobile
141,2341,1966.HK,China SCE Property Holdings Ltd
142,2342,0941.HK,China Mobile
143,2343,0489.HK,Dongfeng Motor Group
144,2344,6030.HK,CITIC Securities Co Ltd
145,2345,1628.HK,Yuzhou Properties Co Ltd
146,2346,0914.HK,Anhui Conch
147,2347,0656.HK,Fosun International
148,2348,1618.HK,Metallurgical Corporation of China
149,2349,1109.HK,China Resources Land
150,2350,1186.HK,China Railway Construction
151,2351,00001.HK,CK Hutchison Holdings Ltd
152,2352,00002.HK,CLP Holdings Ltd
153,2353,00006.HK,Power Assets Holdings Ltd
154,2354,00011.HK,Hang Seng Bank Ltd
155,2355,00016.HK,Sun Hung Kai Properties Ltd
156,2356,00017.HK,New World Development Co Ltd
157,2357,00019.HK,Swire Pacific Ltd
158,2358,00027.HK,Galaxy Entertainment Group Ltd
159,2359,00135.HK,Kunlun Energy Co Ltd
160,2360,00175.HK,Geely Automobile Holdings Ltd
161,2361,00241.HK,Alibaba Health Information Tec
162,2362,00257.HK,China Everbright Environment Group Ltd
163,2363,00268.HK,Kingdee International Software
164,2364,00285.HK,BYD Electronic International
165,2365,00322.HK,Tingyi Cayman Islands Holding
166,2366,00384.HK,China Gas Holdings Ltd
167,2367,00388.HK,Hong Kong Exchanges & Clearing
168,2368,00763.HK,ZTE Corp
169,2369,788.HK,China Tower Corp Ltd
170,2370,00857.HK,PetroChina Co Ltd
171,2371,00880.HK,SJM Holdings Ltd
172,2372,00966.HK,China Taiping Insurance Holdin
173,2373,00981.HK,Semiconductor Manufacturing International Corporation
174,2374,01055.HK,China Southern Airlines Co Ltd
175,2375,01093.HK,CSPC Pharmaceutical Group Ltd
176,2376,01113.HK,CK Asset Holdings Ltd
177,2377,01114.HK,Brilliance China Automotive
178,2378,01128.HK,Wynn Macau Ltd
179,2379,01177.HK,Sino Biopharmaceutical Ltd
180,2380,01211.HK,BYD Co Ltd
181,2381,01336.HK,New China Life Insurance Co Ltd
182,2382,01928.HK,Sands China Ltd
183,2383,02018.HK,AAC Technologies Holdings Inc
184,2384,02020.HK,ANTA Sports Products Ltd
185,2385,02196.HK,Shanghai Fosun Pharmaceutical
186,2386,02269.HK,Wuxi Biologics Cayman Inc
187,2387,02313.HK,Shenzhou International Group
188,2388,02319.HK,China Mengniu Dairy Co Ltd
189,2389,02382.HK,Sunny Optical Technology Group
190,2390,02386.HK,Sinopec Engineering Group Co
191,2391,02388.HK,BOC Hong Kong Holdings Ltd
192,2392,02688.HK,ENN Energy Holdings Ltd
193,2393,03333.HK,China Evergrande Group
194,2394,03690.HK,Meituan Class B
195,2395,03908.HK,China International Capital Co
196,2396,03993.HK,China Molybdenum Co Ltd
197,2397,06060.HK,ZhongAn Online P&C Insurance
198,2398,06837.HK,Haitong Securities Co Ltd
199,2399,06862.HK,Haidilao International Holding
200,2400,06881.HK,China Galaxy Securities Co Ltd
201,2401,06886.HK,Huatai Securities Co Ltd
202,2402,9988.HK,Alibaba Group Holding Ltd (Hong Kong)
203,2403,01122.HK,Qingling Motors Co Ltd
204,2404,1958.HK,BAIC Motor Corp Ltd
205,2405,1585.HK,Yadea Group Holdings Ltd
206,2406,3.HK,Hong Kong & China Gas Co Ltd
207,2407,12.HK,Henderson Land Development Co Ltd
208,2408,83.HK,Sino Land Co Ltd
209,2409,101.HK,Hang Lung Properties Ltd
210,2410,151.HK,Want Want China Holdings Ltd
211,2411,IBCK.DE,iShares Edge S&P 500 Minimum Volatility UCITS ETF
212,2412,1801.HK,Innovent Biologics Inc
213,2413,341.HK,Cafe de Coral Holdings Ltd
214,2414,669.HK,Techtronic Industries Co Ltd
215,2415,823.HK,Link REIT
216,2416,1038.HK,CK Infrastructure Holdings Ltd
217,2417,1044.HK,Hengan International Group Co Ltd
218,2418,1317.HK,China Maple Leaf Educational Systems Ltd
219,2419,1530.HK,3SBio Inc
220,2420,1797.HK,Koolearn Technology Holding Ltd
221,2421,1873.HK,Viva Biotech Holdings
222,2422,1997.HK,Wharf Real Estate Investment Co Ltd
223,2423,2013.HK,Weimob Inc
224,2424,9658.HK,Super Hi International Holding Ltd
225,2425,6185.HK,CanSino Biologics Inc
226,2426,778.HK,Fortune Real Estate Investment Trust
227,2427,SXRG.DE,iShares MSCI USA Small Cap ESG Enhanced UCITS ETF USD 
228,2428,9618.HK,JD.com Inc
229,2429,9926.HK,Akeso Inc
230,2430,200.HK,Melco International Development Ltd
231,2431,CATY,Cathay General Bancorp
232,2432,IBTX,Independent Bank Group Inc
233,2433,SFBS,ServisFirst Bancshares Inc
234,2434,FHB,First Hawaiian Inc
235,2435,BOH,Bank of Hawaii Corp
236,2436,EBC,Eastern Bankshares Inc
237,2437,SFNC,Simmons First National Corp
238,2438,CASH,Meta Financial Group Inc
239,2439,HTH,Hilltop Holdings Inc
240,2440,LKFN,Lakeland Financial Corp
241,2441,HESM,Hess Midstream
242,2442,HOMB,Home BancShares Inc/AR
243,2443,PPBI,Pacific Premier Bancorp Inc
244,2444,SXR7.DE,iShares Core MSCI EMU UCITS ETF EUR
245,2445,PETS.US,PetMed Express
246,2446,TBBK,Bancorp Inc
247,2447,MCB,Metropolitan Bank Holding Corp
248,2448,VBTX,Veritex Holdings Inc
249,2449,OII,Oceaneering International
250,2450,FBNC,First Bancorp/Southern Pines NC
251,2451,BATRK,Atlanta Braves Holdings IN-C
252,2452,PETQ,PetIQ Inc
253,2453,ELMS,Electric Last Mile Solution
254,2454,WCN,Waste Connections Inc
255,2455,FIVN,Five9 Inc
256,2456,TU,TELUS Corporation
257,2457,HIMX,Himax Technologies Inc-ADR
258,2458,STERV.HE,Stora Enso Oyj
259,2459,NJR,New Jersey Resources Corporation
260,2460,OGS,ONE Gas Inc
261,2461,FTS,Fortis Inc
262,2462,ATC,Atotech Limited
263,2463,GMAB.US,Genmab A/S -ADR
264,2464,AEIS,Advanced Energy Industries Inc
265,2465,PAR,PAR Technology Corporation
266,2466,PTRAQ,Proterra Inc
267,2467,RCI,Rogers Communications Inc
268,2468,AVA,Avista Corporation
269,2469,MSEX,Middlesex Water Company
270,2470,ALE,ALLETE Inc
271,2471,AWR,American States Water Company
272,2472,HE,Hawaiian Electric Industries Inc
273,2473,IS3N.DE11,iShares Core MSCI EM IMI UCITS ETF11
274,2474,PSN.US,Parsons Corporation
275,2475,CWT,California Water Service Group
276,2476,OXM,Oxford Industries Inc
277,2477,EVTC,EVERTEC Inc
278,2478,EUN0.DE,iShares Edge MSCI Europe Minimum Volatility UCITS ETF
279,2479,BAK,Braskem S.A.-ADR
280,2480,IBCC.DE11,iShares Treasury Bond 0-1yr UCITS ETF11
