n°,id,symbole,nom
1,8901,WTS,Watts Water Technologies Inc.
2,8902,COLM,Columbia Sportswear Company
3,8903,KRNT,Kornit Digital Ltd.
4,8904,GTLS,Chart Industries Inc.
5,8905,OMF,OneMain Holdings Inc.
6,8906,ASTH, Astrana Health Inc
7,8907,CACI,CACI International Inc
8,8908,EXPO,Exponent Inc.
9,8909,CHNG,Change Healthcare Inc.
10,8910,NVT,nVent Electric plc
11,8911,INOV,Inovalon Holdings Inc.
12,8912,RBC,RBC Bearings Incorporated
13,8913,ESI,Element Solutions Inc
14,8914,HLNE,Hamilton Lane Incorporated
15,8915,CXT,Crane NXT Co
16,8916,OZK,Bank OZK
17,8917,EVR,Evercore Inc.
18,8918,HELE,Helen of Troy Limited
19,8919,VLY,Valley National Bancorp
20,8920,ACHC,Acadia Healthcare Company Inc.
21,8921,IART,Integra LifeSciences Holdings Corporation
22,8922,FLG,Flagstar Financial Inc
23,8923,NFE,New Fortress Energy Inc.
24,8924,SSB,SouthState Bank Corp
25,8925,CELH,Celsius Holdings Inc.
26,8926,CERT,Certara Inc.
27,8927,TWST,Twist Bioscience Corporation
28,8928,SITM,SiTime Corporation
29,8929,PACW,PacWest Bancorp
30,8930,TKR,The Timken Company
31,8931,MIME,Mimecast Limited
32,8932,AVNT.US,Avient Corporation
33,8933,8933,8933
34,8934,8934,8934
35,8935,NFG,National Fuel Gas Company
36,8936,STAA,STAAR Surgical Company
37,8937,AWI,Armstrong World Industries Inc.
38,8938,SPSC,SPS Commerce Inc.
39,8939,QLYS,Qualys Inc.
40,8940,VMI,Valmont Industries Inc.
41,8941,WBS,Webster Financial Corporation
42,8942,NBP,NovaBridge Biosciences
43,8943,ICUI,ICU Medical Inc.
44,8944,EBAY.RTH,eBay
45,8945,MC,Moelis & Company
46,8946,CW,Curtiss-Wright Corporation
47,8947,ROG,Rogers Corporation
48,8948,NEO.US,NeoGenomics Inc.
49,8949,UNVR,Univar Solutions Inc.
50,8950,FOCS,Focus Financial Partners Inc.
51,8951,MTG,MGIC Investment Corporation
52,8952,DIOD,Diodes Incorporated
53,8953,CDK,CDK Global Inc.
54,8954,AI,C3.ai Inc.
55,8955,CHX,ChampionX Corporation
56,8956,BWXT,BWX Technologies Inc.
57,8957,ATKR,Atkore Inc.
58,8958,MSM,MSC Industrial Direct Co. Inc.
59,8959,KNSL,Kinsale Capital Group Inc.
60,8960,8960,8960
61,8961,LIVN,LivaNova PLC
62,8962,ENSG,The Ensign Group Inc.
63,8963,SKY.US,Skyline Champion Corporation
64,8964,UMPQ,Umpqua Holdings Corporation
65,8965,LHCG,LHC Group Inc.
66,8966,ASO,Academy Sports and Outdoors Inc.
67,8967,POR,Portland General Electric Company
68,8968,APLS,Apellis Pharmaceuticals Inc.
69,8969,TXNM,TXNM Energy Inc
70,8970,JOYY,JOYY Inc.-ADR
71,8971,OLO,Olo Inc.
72,8972,LC,LendingClub Corporation
73,8973,FRHC,Freedom Holding Corp.
74,8974,ABCL,AbCellera Biologics Inc.
75,8975,KNBE,KnowBe4 Inc.
76,8976,TRTN,Triton International Limited
77,8977,FUL,H.B. Fuller Company
78,8978,BKH,Black Hills Corporation
79,8979,LOB,Live Oak Bancshares Inc.
80,8980,SHOO,Steven Madden Ltd.
81,8981,INDB,Independent Bank Corp.
82,8982,CRNC,Cerence Inc.
83,8983,EYE,National Vision Holdings Inc.
84,8984,NVMI,Nova Ltd.
85,8985,FNB,F.N.B. Corporation
86,8986,ACIW,ACI Worldwide Inc.
87,8987,PSTH,Pershing Square Tontine Holdings Ltd.
88,8988,VSAT,Viasat Inc.
89,8989,APAM,Artisan Partners Asset Management Inc.
90,8990,LCII,LCI Industries
91,8991,TGTX,TG Therapeutics Inc.
92,8992,BKU,BankUnited Inc.
93,8993,AUPH,Aurinia Pharmaceuticals Inc.
94,8994,AGO,Assured Guaranty Ltd.
95,8995,ALKS,Alkermes plc
96,8996,MATX,Matson Inc.
97,8997,VMEO,Vimeo Inc.
98,8998,JAMF,Jamf Holding Corp.
99,8999,SLVM,Sylvamo Corp.
100,9000,NEXN,Nexxen International Ltd
