n°,id,symbole,nom
1,9601,IAS,Integral Ad Science Holding Corp
2,9602,SEM,Select Medical Holdings Corporation
3,9603,PIPR,Piper Sandler Companies
4,9604,GFF,Griffon Corporation
5,9605,ZNTL,Zentalis Pharmaceuticals Inc
6,9606,HTO,H2O America
7,9607,SDA,SunCar Technology Group Inc
8,9608,COCO,The Vita Coco Company Inc
9,9609,WD,Walker & Dunlop Inc
10,9610,CCC.US,CCC Intelligent Solutions Holdings Inc
11,9611,KFY,Korn Ferry
12,9612,CAMT,Camtek Ltd
13,9613,SNDR,Schneider National Inc
14,9614,FELE,Franklin Electric Co Inc
15,9615,LPG,Dorian Lpg Ltd
16,9616,ULCC,Frontier Group Holdings Inc
17,9617,BANC,Banc Of California
18,9618,IPAR,Inter Parfums Inc
19,9619,NEU,NewMarket Corporation
20,9620,MOG.A,Moog Inc
21,9621,ATRC,Atricure Inc
22,9622,GIL,Gildan Activewear Inc
23,9623,OTTR,Otter Tail Corporation
24,9624,KMPR,Kemper Corporation
25,9625,CVCO,Cavco Industries Inc
26,9626,CCS,Century Communities Inc
27,9627,PRMB,Primo Brands Corp-A
28,9628,PJT,PJT Partners Inc
29,9629,NEXT,NextDecade Corporation
30,9630,LTH,Life Time Group Holdings Inc
31,9631,PLRX,Pliant Therapeutics Inc
32,9632,GGAL,Grupo Financiero Galicia SA
33,9633,MIRM,Mirum Pharmaceuticals Inc
34,9634,SUPN,Supernus Pharmaceuticals Inc
35,9635,LZ,Legalzoomcom Inc
36,9636,STR,Sitio Royalties Corp
37,9637,RYZ,Ryerson Holding Corporation
38,9638,PSNY,Polestar Automotive Holding UK PLC
39,9639,MNRO,Monro Inc
40,9640,PBH,Prestige Consumer Healthcare Inc
41,9641,HIBB,Hibbett Inc
42,9642,PLAB,Photronics Inc
43,9643,ESAB,ESAB Corporation
44,9644,BZH,Beazer Homes USA Inc
45,9645,RXST,Rxsight Inc
46,9646,FORM,Formfactor Inc
47,9647,CSGS,CSG Systems International Inc
48,9648,NPO,Enpro Inc
49,9649,OSCR,Oscar Health Inc
50,9650,VTNRQ,Vertex Energy Inc
51,9651,RILY,BRC Group Holdings Inc
52,9652,EMBC,Embecta Corp
53,9653,CCRN,Cross Country Healthcare Inc
54,9654,GBX.US,The Greenbrier Companies Inc
55,9655,WNC,Wabash National Corporation
56,9656,OSIS,Osi Systems Inc
57,9657,CCF,Chase Corp
58,9658,MYRG,MYR Group Inc
59,9659,SBCF,Seacoast Banking Corporation of Florida
60,9660,NUVL,Nuvalent Inc
61,9661,EBIXQ,Ebix Inc
62,9662,SNCY,Sun Country Airlines Holdings Inc
63,9663,GOOS,Canada Goose Holdings Inc
64,9664,LZB,La-Z-Boy Incorporated
65,9665,UNF,UniFirst Corporation
66,9666,AUB,Atlantic Union Bankshares Corporation
67,9667,VCEL,Vericel Corporation
68,9668,VECO,Veeco Instruments Inc
69,9669,RC,Ready Capital Corporation
70,9670,MCW,Mister Car Wash Inc
71,9671,HI,Hillenbrand Inc
72,9672,WRBY,Warby Parker Inc
73,9673,ORC,Orchid Island Ca
74,9674,XENE,Xenon Pharmaceuticals Inc
75,9675,TGI,Triumph Group Inc
76,9676,IDYA,IDEAYA Biosciences Inc
77,9677,9677,9677
78,9678,WOR,Worthington Enterprises Inc
79,9679,CLB,Core Laboratories Inc
80,9680,BVN,Compañía de Minas Buenaventura S.A.A
81,9681,MLKN,Millerknoll Inc
