n°,id,symbole,nom
1,11201,SNGR.L,Societatea National-Gdr Regs
2,11202,ALBH.L,Aluminium Bahrain -Gdr Reg S
3,11203,AVCT.L,Avacta Group Plc
4,11204,MYSE.L,Ming Yang Smart Energy G
5,11205,HYUD.L,Hyundai Motor Co-Reg S Gdr
6,11206,OGDC.L,Oil & Gas Develop-Gdr Reg S
7,11207,SRC.L,Sigmaroc Plc
8,11208,11208,11208
9,11209,FEDS.L,Federal Bank Ltd-Reg S Gdr
10,11210,MDOJ.L,Mandarin Oriental -Jers Reg
11,11211,MER.L,Mears Group Plc
12,11212,CABP.L,Cab Payments Holdings Plc
13,11213,UBLS.L,United Bank Ltd-Gdr Reg S
14,11214,TGA.L,Thungela Resources Limited
15,11215,YTT.L,Zhejiang Yongtai Technology
16,11216,ZENB.L,Zenith Bank Plc-Sp Gdr-Reg S
17,11217,NBS.L,Nationwide Building Soc-Ccds
18,11218,CBQS.L,Commercial Bank-Gdr Regs
19,11219,11219,11219
20,11220,GTCO.L,Guaranty Trust Holding C-Gdr
21,11221,TEEG.L,Telecom Egypt-Gdr Reg S
22,11222,ELSA.L,Electrica Sa-Gdr-Reg S
23,11223,11223,11223
24,11224,ARKG.L,ARK Genomic Revolution UCITS ETF
25,11225,11225,11225
26,11226,DAR.L,Dar Global Plc
27,11227,YNGN.L,Young & CoS Brewery Plc -Nv
28,11228,HVO.L,Hvivo Plc
29,11229,XPS.L,Xps Pensions Group Plc
30,11230,GKP.L,Gulf Keystone Petroleum Ld
31,11231,FP.L,Fondul Proprietatea Sa/Fund
32,11232,Dormant11232,Dormant11232
33,11233,VLX.L,Volex Plc
34,11234,LGLD.L,Lg Electronics Inc-Gdr Regs
35,11235,AEZD.L,Al Ezz Steel Rebars Sae-Gdr
36,11236,ADMR.L,Admiral Acquisition Ltd
37,11237,EFGD.L,Efg-Hermes Holdings-Gdr
38,11238,MHPC.L,Mhp Se
39,11239,XPP.L,Xp Power Ld
40,11240,CER.L,Cerillion Plc
41,11241,DTVL.L,Dish Tv India Ltd-Gdr
42,11242,EFID.L,Edita Food Industries-Reg S
43,11243,IDHC.L,Integrated Diagnostics Holdi
44,11244,BXP.L,Beximco Pharmaceuti-Gdr Regs
45,11245,KLR.L,Keller Group Plc
46,11246,SIHL.L,Symphony International Holdi
47,11247,POLR.L,Polar Capital Holdings Plc
48,11248,POLN.L,Pollen Street Group Limited
49,11249,MICC.L,MAGNUM ICE CREAM CO BV
50,11250,AMIF.L,Amicorp Fs Uk Plc
51,11251,PANR.L,Pantheon Resources Plc
52,11252,ENQ.L,Enquest Plc
53,11253,TMT.L,Tmt Investments Plc
54,11254,KOD.L,Kodal Minerals Plc
55,11255,HSW.L,Hostelworld Group Plc
56,11256,AGL.L,Angle Plc
57,11257,Dormant11257,Dormant11257
58,11258,PREM.L,Premier African Minerals Ltd
59,11259,RNEW.L,Ecofin Us Renewables Infrast
60,11260,TAM.L,Tatton Asset Management Plc
61,11261,WIX.L,Wickes Group Plc
62,11262,RGL.L,Regional Reit Ld
63,11263,PHE.L,Powerhouse Energy Group Plc
64,11264,BFSP.L,Blackfinch Spring Vct Plc
65,11265,AEX.L,Aminex Plc
66,11266,IQE.L,Iqe Plc
67,11267,WHR.L,Warehouse Reit Plc
68,11268,KEFI.L,Kefi Gold And Copper Plc
69,11269,TIG.L,Team Internet Group Plc
70,11270,PUAL.L,Puma Alpha Vct Plc
71,11271,WBI.L,Woodbois Ltd
72,11272,GGP.L,Greatland Resources Ltd
73,11273,MTW.L,Mattioli Woods Plc
74,11274,CAML.L,Central Asia Metals Plc
75,11275,BMT.L,Braime (Tf & Jh)-A Non Votg
76,11276,FSG.L,Foresight Group Holdings Limited
77,11277,NARF.L,Narf Industries Plc
78,11278,THRL.L,Target Healthcare Reit Plc
79,11279,NEXN.L,Nexxen International Ltd
80,11280,ADVT.L,Advancedadvt Limited
81,11281,KP2.L,Kore Potash Plc
82,11282,SYME.L,Supply@Me Capital Plc
83,11283,SOU.L,Sound Energy Plc
84,11284,AO.L,Ao World Plc
85,11285,API.L,Abrdn Property Income Trust Limited
86,11286,CRT.L,Care Reit Plc
87,11287,ARS.L,Asiamet Resources Ltd
88,11288,DGI.L,Dg Innovate Plc
89,11289,EEE.L,Empire Metals Ld
90,11290,SNDA.L,Sunda Energy Plc
91,11291,HWG.L,Harworth Group Plc
92,11292,ASPL.L,Aseana Properties Ltd
93,11293,YU..L,Yu Group Plc
94,11294,VTU.L,Vertu Motors Plc
95,11295,ASLI.L,Abrdn European Logistics Income Plc
96,11296,PCTN.L,Picton Property Income Ld
97,11297,SAA.L,M&C Saatchi Plc
98,11298,RCH.L,Reach Plc
99,11299,NCC.L,Ncc Group Plc
100,11300,RCDO.L,Ricardo Plc
