n°,id,symbole,nom
1,6201,NUWE,Nuwellis Inc
2,6202,CJJD,China Jo-Jo Drugstores Inc
3,6203,CLDX,Celldex Therapeutics Inc
4,6204,CLIR,ClearSign Technologies Corp
5,6205,CLSK,Cleanspark Inc
6,6206,CLSN,Celsion Corp
7,6207,COCP,Cocrystal Pharma Inc
8,6208,COOP,Mr Cooper Group Inc
9,6209,CPRX,Catalyst Pharmaceuticals Inc
10,6210,CTRM,Castor Maritime Inc
11,6211,DFFN,Diffusion Pharmaceuticals Inc
12,6212,KUST,Kustom Entertainment Inc
13,6213,PUBM,PUBMATIC INC-CLASS A
14,6214,DVAX,Dynavax Technologies Corp
15,6215,EGAN,eGain Corp
16,6216,EKSO,Ekso Bionics Holdings Inc
17,6217,EVFM,Evofem Biosciences Inc
18,6218,APP,Applovin Corp
19,6219,TTCFQ,Tattooed Chef Inc
20,6220,FRSX,Foresight Autonomous Holdings Ltd-ADR
21,6221,GENE,Genetic Technologies Ltd
22,6222,GEVO,Gevo Inc
23,6223,GHSI,Guardion Health Sciences Inc
24,6224,GLBS,Globus Maritime Ltd
25,6225,GNPX,Genprex Inc
26,6226,TOON,Kartoon Studios Inc
27,6227,CSCW,Color Star Technology Co Ltd
28,6228,ALGM,Allegro MicroSystems Inc
29,6229,SCPX,Scorpius Holdings Inc
30,6230,HTGMQ,HTG Molecular Diagnostics Inc
31,6231,IDEXQ,Ideanomics Inc
32,6232,IMRN,Immuron Ltd
33,6233,XTIA,XTI Aerospace Inc
34,6234,IZEA,IZEA Worldwide Inc
35,6235,JAGX,Jaguar Health Inc
36,6236,KIN,Kindred Biosciences Inc
37,6237,KTOV,Kitov Pharma Ltd
38,6238,GNOG,Golden Nugget Online Gaming Inc
39,6239,LKCO,Luokung Technology Corp
40,6240,NEGG,Newegg Commerce Inc
41,6241,LMFA,LM Funding America Inc
42,6242,LPCN,Lipocine Inc
43,6243,LUNA.US,Luna Innovations Inc
44,6244,MARA,Marathon Digital Holdings Inc.
45,6245,MARK,Remark Holdings Inc
46,6246,MBRX,Moleculin Biotech Inc
47,6247,6247,6247
48,6248,VRDN,Viridian Therapeutics Inc
49,6249,MITK,Mitek Systems Inc
50,6250,MDVL,MedAvail Holdings Inc
51,6251,BTB,Bit Brother Ltd
52,6252,CENN, Cenntro Inc
53,6253,NBEVQ,New Age Inc
54,6254,NESR,National Energy Services Reunited Corp
55,6255,NNDM,Nano Dimension Ltd-ADR
56,6256,INDP,Intec Parent Inc
57,6257,NXTD,NXT-ID Inc
58,6258,OCGN,Ocugen Inc
59,6259,TRAW,Traws Pharma Inc
60,6260,ONVO,Oraganovo Holdings Inc
61,6261,OTLK,Outlook Therapeutics Inc
62,6262,PAYS,Paysign Inc
63,6263,PHUN,Phunware Inc
64,6264,PLUG,Plug Power Inc
65,6265,PRPO,Precipio Inc
66,6266,AIXC,AIxCrypto Holdings Inc
67,6267,SCTL,Recro Pharma Inc
68,6268,RESN,Resonant Inc
69,6269,RGLS,Regulus Therapeutics Inc
70,6270,RIOT,Riot Platforms Inc
71,6271,LSTR,Landstar System Inc
72,6272,SHIP,Seanergy Maritime Holdings Corp
73,6273,SINT,SiNtx Technologies Inc
74,6274,6274,6274
75,6275,TWOUQ,2U Inc
76,6276,6276,6276
77,6277,SOLO,ElectraMeccanica Vehicles Corp
78,6278,SRNE,Sorrento Therapeutics Inc
79,6279,SSSS,SuRo Capital Corp
80,6280,SSTI,ShotSpotter Inc
81,6281,SUNWQ,Sunworks Inc
82,6282,SXTC,China SXT Pharmaceuticals Inc.
83,6283,TBLT,Toughbuilt Industries Inc
84,6284,TELL,Tellurian Inc
85,6285,TEUM,Pareteum Corp
86,6286,TH,Target Hospitality Corp
