n°,id,symbole,nom
1,11901,LST.L,Light Science Technologies Holdings
2,11902,SDX.L,Sdx Energy Plc
3,11903,GRX.L,Greenx Metals Limited
4,11904,IUG.L,Intelligent Ultrasound Group Plc
5,11905,ZYT.L,Zytronic Plc
6,11906,SFT.L,Software Circle Plc
7,11907,CASP.L,Caspian Sunrise Plc
8,11908,RQIH.L,R&Q Insurance Holdings Ltd
9,11909,DEVO.L,"Devolver Digital, Inc."
10,11910,PAT.L,Panthera Resources Plc
11,11911,ALTN.L,Altyngold Plc
12,11912,CMRS.L,Critical Mineral Resources Plc
13,11913,INDI.L,Indus Gas Ld
14,11914,HUI.L,Hydrogen Utopia International Plc
15,11915,MAI.L,Maintel Holdings Plc
16,11916,AURA.L,Aura Energy Limited
17,11917,GDP.L,Goldplat Plc
18,11918,FDBK.L,Feedback Plc
19,11919,SMJ.L,Smart(J.)& Co(Contractors) Plc
20,11920,SORT.L,Sorted Group Holdings Plc
21,11921,AEO.L,Aeorema Communications Plc
22,11922,ZIN.L,Zinc Media Group Plc
23,11923,ROQ.L,Roquefort Therapeutics Plc
24,11924,PNS.L,Panther Securities Plc
25,11925,MORE.L,Hostmore Plc
26,11926,CRTM.L,Critical Metals Plc
27,11927,KBT.L,K3 Business Technology Group Plc
28,11928,INSG.L,Insig Ai Plc
29,11929,PRIM.L,Primorus Investments Plc
30,11930,RE..L,R.E.A.Hldgs Plc
31,11931,ETP.L,Eneraqua Technologies Plc
32,11932,LINV.L,Lendinvest Plc
33,11933,SNT.L,Sabien Technology Group Plc
34,11934,TOWN.L,Town Centre Securities Plc
35,11935,RTOP.L,Regtech Open Project Plc
36,11936,ALGW.L,Alpha Growth Plc
37,11937,TND.L,Tandem Group Plc
38,11938,SWG.L,Shearwater Group Plc
39,11939,CFX.L,Colefax Group Plc
40,11940,FPO.L,First Property Group Plc
41,11941,MHC.L,Myhealthchecked Plc
42,11942,ITIM.L,Itim Group Plc
43,11943,BSE.L,Base Resources Ld
44,11944,WTE.L,Westmount Energy Ld
45,11945,SYM.L,Symphony Environmental Tech. Plc
46,11946,VEL.L,Velocity Composites Plc
47,11947,DCTA.L,Directa Plus Plc
48,11948,PYX.L,Pyx Resources Limited
49,11949,MYX.L,Mycelx Technologies Corporation
50,11950,GTC.L,Getech Group Plc
51,11951,KDNC.L,Cadence Minerals Plc
52,11952,HUD.L,Huddled Group Plc
53,11953,CTA.L,Ct Automotive Group Plc
54,11954,CRL.L,Creightons Plc
55,11955,HSD.L,Hansard Global Plc
56,11956,LEX.L,Lexington Gold Ltd
57,11957,MTC.L,Mothercare Plc
58,11958,SOUC.L,Southern Energy Corp.
59,11959,LPA.L,Lpa Group Plc
60,11960,BEM.L,Beowulf Mining Plc
61,11961,GEMD.L,Gem Diamonds Ld
62,11962,BHL.L,Bradda Head Lithium Limited
63,11963,ENW.L,Enwell Energy Plc
64,11964,LLAI.L,"Lunglife Ai, Inc"
65,11965,CODE.L,Northcoders Group Plc
66,11966,Dormant11966,Dormant11966
67,11967,ASY.L,Andrews Sykes Group Plc
68,11968,Dormant11968,Dormant11968
69,11969,NAR.L,Northamber Plc
70,11970,PYC.L,Physiomics Plc
71,11971,WSP.L,Wynnstay Properties Plc
72,11972,GRIO.L,Ground Rents Income Fund Plc
73,11973,NAH.L,Nahl Group Plc
74,11974,NTBR.L,Northern Bear Plc
75,11975,MBO.L,Mobilityone Ld
76,11976,CSSG.L,Croma Security Solutions Group Plc
77,11977,VCAP.L,Vector Capital Plc
78,11978,MLVN.L,Malvern International Plc
79,11979,CCP.L,Celtic Plc
80,11980,TPX.L,Tpximpact Holdings Plc
81,11981,LIB.L,Libertine Holdings Plc
82,11982,CTG.L,Christie Group Plc
83,11983,DSW.L,Dsw Capital Plc
84,11984,NWT.L,Newmark Security Plc
85,11985,GROC.L,Greenroc Mining Plc
86,11986,TIDE.L,Crimson Tide Plc
87,11987,UMR.L,Unicorn Mineral Resources Plc
88,11988,B90.L,B90 Holdings Plc
89,11989,PRES.L,Pressure Technologies Plc
90,11990,4GBL.L,4Global Plc
91,11991,AFP.L,African Pioneer Plc
92,11992,CNSL.L,Cambridge Nutritional Sciences Plc
93,11993,PET.L,Petrel Resources Plc
94,11994,EMR.L,Empresaria Group Plc
95,11995,IMC.L,Imc Exploration Group Plc
96,11996,PIER.L,Brighton Pier Group Plc (The)
97,11997,INX.L,I-Nexus Global Plc
98,11998,HDD.L,Hardide Plc
99,11999,MPL.L,Mercantile Ports & Logistics Ltd
100,12000,PALM.L,Panther Metals Plc
