n°,id,symbole,nom
1,11501,CLON.L,Clontarf Energy Plc
2,11502,GST.L,Gstechnologies Ltd
3,11503,ENSI.L,Ensilica Plc
4,11504,JOG.L,Jersey Oil And Gas Plc
5,11505,LGRS.L,Loungers Plc
6,11506,NET.L,Netcall Plc
7,11507,OBD.L,Oxford Biodynamics Plc
8,11508,CDGP.L,Chapel Down Group Plc
9,11509,RRR.L,Red Rock Resources Plc
10,11510,QTX.L,Quartix Technologies Plc
11,11511,CDL.L,Cloudbreak Discovery Plc
12,11512,DEMG.L,Deltex Medical Group Plc
13,11513,STK.L,Streaksai Plc
14,11514,MSMN.L,Mosman Oil & Gas Ltd
15,11515,SHOE.L,Shoe Zone Plc
16,11516,RFX.L,Ramsdens Holdings Plc
17,11517,PMI.L,Premier Miton Group Plc
18,11518,STVG.L,Stv Group Plc
19,11519,SRES.L,Sunrise Resources Plc
20,11520,SNWS.L,Smiths News Plc
21,11521,EPWN.L,Epwin Group Plc
22,11522,UOG.L,United Oil And Gas Plc
23,11523,VELA.L,Vela Technologies Plc
24,11524,VP.L,Vp Plc
25,11525,SALT.L,Microsalt Plc
26,11526,TXP.L,Touchstone Exploration Inc
27,11527,SPEC.L,Inspecs Group Plc
28,11528,NXR.L,Norcros Plc
29,11529,MSI.L,Ms International Plc
30,11530,N4P.L,N4 Pharma Plc
31,11531,Dormant11531,Dormant11531
32,11532,SOLI.L,Solid State Plc
33,11533,ZOO.L,Zoo Digital Group Plc
34,11534,GPH.L,Global Ports Holding Plc
35,11535,ECEL.L,Eurocell Plc
36,11536,MPE.L,M. P. Evans Group Plc
37,11537,PCA.L,Palace Capital Plc
38,11538,THS.L,Tharisa Plc
39,11539,MXCT.L,Maxcyte Inc
40,11540,TYM.L,Tertiary Minerals Plc
41,11541,ARCM.L,Arc Minerals Ld
42,11542,SRB.L,Serabi Gold Plc
43,11543,TRR.L,Trident Royalties Plc
44,11544,ADME.L,Adm Energy Plc
45,11545,LVCG.L,Live Company Group Plc
46,11546,CLIG.L,City Of London Investment Group Plc
47,11547,AVG.L,Avingtrans Plc
48,11548,GDR.L,Genedrive Plc
49,11549,GDWN.L,Goodwin Plc
50,11550,WINE.L,Naked Wines Plc
51,11551,AXL.L,Arrow Exploration Corp.
52,11552,AVAP.L,Avation Plc
53,11553,KEYS.L,Keystone Law Group Plc
54,11554,HCM.L,Hutchmed (China) Limited
55,11555,TEK.L,Tekcapital Plc
56,11556,GILD.L,Guild Esports Plc
57,11557,SND.L,Sondrel (Holdings) Plc
58,11558,TFW.L,Thorpe(F.W.) Plc
59,11559,LTHM.L,Latham(James) Plc
60,11560,BMN.L,Bushveld Minerals Limited
61,11561,TOM.L,Tomco Energy Plc
62,11562,BLU.L,Blue Star Capital Plc
63,11563,WYN.L,Wynnstay Group Plc
64,11564,STAF.L,Staffline Group Plc
65,11565,SPR.L,Springfield Properties Plc
66,11566,CAPD.L,Capital Ld
67,11567,BMS.L,Braemar Plc
68,11568,CGS.L,Castings Plc
69,11569,VRS.L,Versarien Plc
70,11570,ECK.L,Eckoh Plc
71,11571,RESI.L,Residential Secure Income Plc
72,11572,SAAS.L,Microlise Group Plc
73,11573,LIT.L,Litigation Capital Management Ltd
74,11574,NFX.L,Nuformix Plc
75,11575,SERE.L,Schroder European Reit Plc
76,11576,WPHO.L,Windar Photonics Plc
77,11577,CTL.L,Cleantech Lithium Plc
78,11578,KIBO.L,Kibo Energy Plc
79,11579,FIN.L,Finseta PLC
80,11580,SPSY.L,Spectra Systems Corporation
81,11581,MTEC.L,Made Tech Group Plc
82,11582,PRE.L,Pensana Plc
83,11583,ATM.L,Andrada Mining Limited
84,11584,SCSP.L,Seed Capital Solutions Plc
85,11585,MMAG.L,Musicmagpie Plc
86,11586,TIME.L,Time Finance Plc
87,11587,ULTP.L,Ultimate Products Plc
88,11588,ALU.L,Alumasc Group Plc
89,11589,GTLY.L,Gateley (Holdings) Plc
90,11590,MFAI.L,Mindflair Plc
91,11591,MATD.L,Petro Matad Ld
92,11592,LME.L,Limitless Earth Plc
93,11593,SPA.L,1Spatial Plc
94,11594,QED.L,Quadrise Plc
95,11595,EBQ.L,Ebiquity Plc
96,11596,KAT.L,Katoro Gold Plc
97,11597,GFIN.L,Gfinity Plc
98,11598,IOM.L,Iomart Group Plc
99,11599,GMR.L,Gaming Realms Plc
100,11600,GVMH.L,Grand Vision Media Holdings
