n°,id,symbole,nom
1,4201,CC.US,The Chemours
2,4202,LAZ,Lazard Inc
3,4203,CACC,Credit Acceptance
4,4204,RNR,RenaissanceRe Holdings Ltd
5,4205,AON,Aon plc
6,4206,VISN,Vistance Networks Inc
7,4207,SBH,Sally Beauty Holdings Inc.
8,4208,DNB,The Dun & Bradstreet
9,4209,POST,Post holdings
10,4210,OUT,Outfront Media Inc
11,4211,MMI,Marcus & Millichap
12,4212,FAST,Fastenal Company
13,4213,CCU,Cia Cervecerias unidas-ADR
14,4214,FCPT,Four Corners Property Trust
15,4215,RMAX,RE/MAX Holdings
16,4216,HAWK,Blackhawk Network Holdings
17,4217,4217,4217
18,4218,AMP.MI,Amplifon
19,4219,BGN.MI,Banca Generali
20,4220,BAMI.MI,Banco Bpm
21,4221,BRE.MI,Brembo
22,4222,DIA.MI,Diasorin
23,4223,FBK.MI,FinecoBank
24,4224,IG.MI,Italgas
25,4225,JUVE.MI,Juventus Football Club
26,4226,PIRC.MI,Pirelli & C
27,4227,PST.MI,Poste Italiane
28,4228,REC.MI,Recordati
29,4229,4229,4229
30,4230,UNI.MI,Unipol
31,4231,RDS.A,Royal Dutch Shell A (ADR)
32,4232,NVS,Novartis ADR
33,4233,4233,4233
34,4234,4234,4234
35,4235,BHP,BHP Group Ltd ADR
36,4236,AVGO,Broadcom Inc
37,4237,VTI,Vanguard Total Stock Market ETF
38,4238,VOO,Vanguard S&P 500 ETF
39,4239,AZN,AstraZeneca PLC ADR
40,4240,RIO,Rio Tinto PLC ADR
41,4241,LIN,Linde PLC
42,4242,PBR.A,Petroleo Brasileiro ADR
43,4243,BTI,British American Tobacco PLC ADR
44,4244,ASML,ASML Holding NV
45,4245,DD,DuPont de Nemours Inc.
46,4246,ITUB,Itau Unibanco Holding ADR
47,4247,ENB,Enbridge Inc
48,4248,VEA,Vanguard FTSE Developed Market ETF
49,4249,ABEV,Ambev ADR
50,4250,BBD,Banco Bradesco ADR
51,4251,ISRG,Intuitive Surgical Inc
52,4252,VWO,Vanguard FTSE Emerging Markets
53,4253,SLB,SLB Ltd
54,4254,TMUS,T-Mobile Us Inc
55,4255,CCI,Crown Castle International
56,4256,4256,4256
57,4257,OXY,Occidental Petroleum Corp
58,4258,VTV,Vanguard Value ETF
59,4259,PLD,Prologis Inc
60,4260,NOW,ServiceNow Inc
61,4261,DELL,Dell Technologies Inc C
62,4262,IWF,iShares Russell 1000 Growth ETF
63,4263,WDAY,Workday Inc A
64,4264,ADI.US,Analog Devices Inc
65,4265,EW,Edwards Lifesciences Corp
66,4266,PRU,Prudential Financial Inc
67,4267,VUG,Vanguard Growth ETF
68,4268,EQIX,Equinix Inc
69,4269,IWD,iShares Russell 1000 Value ETF
70,4270,PSA,Public Storage
71,4271,BND,Vanguard Total Bond Market ETF
72,4272,CCL,Carnival Corp
73,4273,ETN,Eaton Corp PLC
74,4274,VNQ,Vanguard Real Estate ETF
75,4275,LYB,LyondellBasell Industries NV
76,4276,XLNX,Xilinx Inc
77,4277,ALXN,Alexion Pharmaceuticals Inc
78,4278,WELL.US,Welltower Inc
79,4279,4279,4279
80,4280,AMTD,TD Ameritrade Holding Corp
81,4281,PAYX,Paychex Inc
82,4282,4282,4282
83,4283,SIRI,Sirius XM Holdings Inc
84,4284,AVB,AvalonBay Communities Inc
85,4285,EQR,Equity Residential
86,4286,TEAM,Atlassian Corp PLC A
87,4287,BKR,Baker Hughes Company
88,4288,4288,4288
89,4289,DLR,Digital Realty Trust Inc
90,4290,ZBH,Zimmer Biomet Holdings Inc
91,4291,FDC,First Data Corp A
92,4292,USMV,iShares Edge MSCI Min Vol USA
93,4293,RCL,Royal Caribbean Cruises Ltd
94,4294,ANET,Arista Networks Inc
95,4295,VCSH,Vanguard Short-Term Corporate
96,4296,BSV,Vanguard Short-Term Bond ETF
97,4297,ADM,Archer-Daniels-Midland Co
98,4298,VEU,Vanguard FTSE All-World ex-US
99,4299,ALGN,Align Technology Inc
100,4300,SYF,Synchrony Financial
101,4301,IVW,iShares S&P 500 Growth ETF
102,4302,VCIT,Vanguard Intermediate-Term Corp
103,4303,DTE,DTE Energy Co
104,4304,VTR,Ventas Inc
105,4305,INFO,IHS Markit Ltd
106,4306,APTV,Aptiv PLC
107,4307,O,Realty Income Corp
108,4308,CXO,Concho Resources Inc
109,4309,LULU,Lululemon Athletica Inc
110,4310,GPN,Global Payments Inc
111,4311,TIP,iShares TIPS Bond ETF
112,4312,HPE,Hewlett Packard Enterprise Co
113,4313,MCHP,Microchip Technology Inc
114,4314,BXP,Boston Properties Inc
115,4315,TAL,TAL Education Group ADR
116,4316,ULTA,Ulta Beauty Inc
117,4317,KLAC,KLA Corp
