n°,id,symbole,nom
1,11801,DNM.L,Dianomi Plc
2,11802,ESYS.L,Essensys Plc
3,11803,TRIN.L,Trinity Exploration & Production
4,11804,4BB.L,4Basebio Plc
5,11805,LORD.L,Lords Group Trading Plc
6,11806,FIPP.L,Frontier Ip Group Plc
7,11807,CKT.L,Checkit Plc
8,11808,AXS.L,Accsys Technologies Plc
9,11809,BOR.L,Borders & Southern Petroleum Plc
10,11810,EMH.L,European Metals Holdings Limited
11,11811,ING.L,Ingenta Plc
12,11812,TLY.L,Totally Plc
13,11813,CGO.L,Contango Holdings Plc
14,11814,SEA.L,Seascape Energy Asia PLC
15,11815,Dormant11815,Dormant11815
16,11816,UJO.L,Union Jack Oil Plc
17,11817,ITX.L,Itaconix Plc
18,11818,ABDX.L,Abingdon Health Plc
19,11819,ELCO.L,Eleco Public Limited Company
20,11820,XSG.L,Xeros Technology Group
21,11821,OVB.L,Ovoca Bio Plc
22,11822,EDEN.L,Eden Research Plc
23,11823,S247.L,Smarttech247 Group Plc
24,11824,BKY.L,Berkeley Energia Ltd
25,11825,CGH.L,Chaarat Gold Holdings Ld
26,11826,DKE.L,Dukemount Capital Plc
27,11827,TBLD.L,Tinybuild Inc.
28,11828,WRKS.L,Theworks.Co.Uk Plc
29,11829,CAU.L,Centaur Media Plc
30,11830,OMI.L,Orosur Mining Inc
31,11831,EST.L,East Star Resources Plc
32,11832,IMM.L,Immupharma Plc
33,11833,ANP.L,Anpario Plc
34,11834,TRD.L,Triad Group Plc
35,11835,CRU.L,Coral Products Plc
36,11836,BRES.L,Blencowe Resources Plc
37,11837,HEIQ.L,Heiq Plc
38,11838,ART.L,The Artisanal Spirits Company Plc
39,11839,AGY.L,Allergy Therapeutics Plc
40,11840,RBGP.L,Rbg Holdings Plc
41,11841,Dormant11841,Dormant11841
42,11842,CIZ.L,Cizzle Biotechnology Holdings Plc
43,11843,CMET.L,Capital Metals Plc
44,11844,DKL.L,Dekel Agri-Vision Plc
45,11845,AAU.L,Ariana Resources Plc
46,11846,JEL.L,Jersey Electricity Plc
47,11847,CAM.L,Camellia Plc
48,11848,G4M.L,Gear4Music (Holdings) Plc
49,11849,FAR.L,Ferro-Alloy Resources Limited
50,11850,GETB.L,Getbusy Plc
51,11851,HERC.L,Hercules Site Services Plc
52,11852,ONE.L,Oneiro Energy Plc
53,11853,PULS.L,Pulsar Group PLC
54,11854,Dormant11854,Dormant11854
55,11855,PEBB.L,The Pebble Group Plc
56,11856,ACRM.L,Acuity Rm Group Plc
57,11857,AREC.L,Arecor Therapeutics Plc
58,11858,CNS.L,Corero Network Security Plc
59,11859,IHC.L,Inspiration Healthcare Group Plc
60,11860,NCYT.L,Novacyt S.A.
61,11861,MANO.L,Manolete Partners Plc
62,11862,AFRN.L,Aferian Plc
63,11863,CEL.L,Celadon Pharmaceuticals Plc
64,11864,SKA.L,Shuka Minerals Plc
65,11865,CFYN.L,Caffyns Plc
66,11866,WSBN.L,Wishbone Gold Plc
67,11867,ADA.L,Adams Plc
68,11868,FKE.L,Fiske Plc
69,11869,BBB.L,Bigblu Broadband Plc
70,11870,GPL.L,Graft Polymer Uk Plc
71,11871,EPP.L,Energypathways Plc
72,11872,ONC.L,Oncimmune Holdings Plc
73,11873,PHC.L,Plant Health Care Plc
74,11874,SNG.L,Synairgen Plc
75,11875,VARE.L,Various Eateries Plc
76,11876,MWE.L,Mti Wireless Edge Ld
77,11877,PEN.L,Pennant International Group Plc
78,11878,STCM.L,Steppe Cement Ld
79,11879,BVX.L,Bivictrix Therapeutics Plc
80,11880,TMG.L,The Mission Group Plc
81,11881,SVML.L,Sovereign Metals Limited
82,11882,VANL.L,Van Elle Holdings Plc
83,11883,ANG.L,Angling Direct Plc
84,11884,ORCA.L,Orcadian Energy Plc
85,11885,KNB.L,Kanabo Group Plc
86,11886,GR1T.L,Grit Real Estate Income Group Limit
87,11887,RDT.L,Rosslyn Data Technologies Plc
88,11888,STM.L,Stm Group Plc
89,11889,SYS.L,Sysgroup Plc
90,11890,CIC.L,Conygar Investment Company Plc
91,11891,CUSN.L,Cornish Metals Inc.
92,11892,LND.L,Landore Resources Ld
93,11893,VINO.L,Virgin Wines Uk Plc
94,11894,ORCH.L,Orchard Funding Group Plc
95,11895,GENF.L,Genflow Biosciences Plc
96,11896,ARC.L,Arcontech Group Plc
97,11897,GLR.L,Galileo Resources Plc
98,11898,ALT.L,Altitude Group Plc
99,11899,AYM.L,Anglesey Mining Plc
100,11900,EMVC.L,EMV Capital PLC
