n°,id,symbole,nom
1,11001,ASPS,Altisource Portfolio Sol
2,11002,CNTY,Century Casinos Inc
3,11003,LUXHQ,Luxurban Hotels Inc
4,11004,SYRS,Syros Pharmaceuticals Inc
5,11005,ORN,Orion Group Holdings Inc
6,11006,TLS,Telos Corporation
7,11007,IMMX,Immix Biopharma Inc
8,11008,ABEO,Abeona Therapeutics Inc
9,11009,SDIG,Stronghold Digital Mining-A
10,11010,BVS,Bioventus Inc - A
11,11011,SLDB,Solid Biosciences Inc
12,11012,DLTH.US,Duluth Holdings Inc - Cl B
13,11013,STKS,One Group Hospitality Inc/Th
14,11014,INTR,Inter & Co Inc - Cl A
15,11015,EPIX,Essa Pharma Inc
16,11016,KGN.ASX,Kogan.Com Ltd
17,11017,BEEM,Beam Global
18,11018,TCRX,Tscan Therapeutics Inc
19,11019,FUSN,Fusion Pharmaceuticals Inc
20,11020,OPAL,Opal Fuels Inc-A
21,11021,SURG,Surgepays Inc
22,11022,KNOP,Knot Offshore Partners Lp
23,11023,CDT,CDT Equity Inc
24,11024,GFR,Greenfire Resources Ltd
25,11025,AUGX,Augmedix Inc
26,11026,LTRX,Lantronix Inc
27,11027,DERM,Journey Medical Corp
28,11028,CATO,Cato Corp-Class A
29,11029,11029,11029
30,11030,SPIR,Spire Global Inc
31,11031,GENK,Gen Restaurant Group Inc
32,11032,KALA,Kala Bio Inc
33,11033,BBCP,Concrete Pumping Holdings In
34,11034,GORV,Lazydays Holdings Inc
35,11035,OBIO,Orchestra Biomed Holdings In
36,11036,KFS,Kingsway Financial Services
37,11037,PESI,Perma-Fix Environmental Svcs
38,11038,WA1.ASX,Wa1 Resources Ltd
39,11039,NPCE,Neuropace Inc
40,11040,TPW.ASX,Temple & Webster Group Ltd
41,11041,LE,Lands End Inc
42,11042,VIRC,Virco Mfg Corporation
43,11043,MRAM,Everspin Technologies Inc
44,11044,HARP,Harpoon Therapeutics Inc
45,11045,ECDA,ECD Automotive Design Inc
46,11046,PLSE,Pulse Biosciences Inc
47,11047,ANVS,Annovis Bio
48,11048,BLFY,Blue Foundry Bancorp
49,11049,MFIN,Medallion Financial Corp
50,11050,PWH.ASX,Pwr Holdings Ltd
51,11051,THRD,Third Harmonic Bio Inc
52,11052,11052,11052
53,11053,ESHA,Esh Acquisition Corp-A
54,11054,PCYO,Pure Cycle Corp
55,11055,USAR,USA Rare Earth Inc
56,11056,NETD,Nabors Energy Transition C-A
57,11057,VINP,Vinci Partners Investments-A
58,11058,KDK,Kodiak Robotics Inc
59,11059,11059,11059
60,11060,GHIX,Gores Holding Ix Inc-Cl A
61,11061,GCTS,GCT Semiconductor Holding Inc
62,11062,ENER,Accretion Acquisition Corp
63,11063,HOVR,New Horizon Aircraft Ltd
64,11064,ISRLF,Israel Acquisitions Corp-A
65,11065,HSPOF,Horizon Space Acquisition I
66,11066,BDMD,Baird Medical Investment Holdings Limited
67,11067,AMCI,AMC Robotics Corp
68,11068,11068,11068
69,11069,INV.US,Innventure Inc
70,11070,SEDA,Sdcl Edge Acquisition Corp-A
71,11071,NUCL,Eagle Nuclear Energy Corp
72,11072,GDST,Goldenstone Acquisition Ltd
73,11073,CNTM,ConnectM Technology Solutions Inc
74,11074,ISPR,Ispire Technology Inc
75,11075,BULL,WeBull Corp
76,11076,GIA,Gigcapital5 Inc
77,11077,SHAP,Spree Acquisition Corp 1 Ltd
78,11078,FRST,Primis Financial Corp
79,11079,RENEF,Cartesian Growth Corp Ii- A
80,11080,SMNR,Semnur Pharmaceuticals Inc
81,11081,APCA,Ap Acquisition Corp-A
82,11082,BWB,Bridgewater Bancshares Inc
83,11083,MCAA,Mountain & Co I Acquisition
84,11084,IZM,Iczoom Group Inc -Class A
85,11085,GEOS,Geospace Technologies Corp
86,11086,OFS,Ofs Capital Corp
87,11087,SEZL,Sezzle Inc
88,11088,CBAN,Colony Bankcorp
89,11089,QUIK,Quicklogic Corp
90,11090,UTI,Universal Technical Institut
91,11091,DDR.ASX,Dicker Data Ltd
92,11092,FBYD,Falcons Beyond Global Inc-A
93,11093,LWAY,Lifeway Foods Inc
94,11094,XBP,Xbp Europe Holdings Inc
95,11095,WMPN,William Penn Bancorp
96,11096,WHF,Whitehorse Finance Inc
97,11097,TFPM,Triple Flag Precious Metals Corp
98,11098,JIN.ASX,Jumbo Interactive Ltd
99,11099,NGS,Natural Gas Services Group
100,11100,ELTK,Eltek Ltd
