n°,id,symbole,nom
1,12401,BNN.DE,BRAIN Biotech AG
2,12402,PBY.DE,Publity AG
3,12403,C43.DE,Cosmo Pharmaceuticals NV
4,12404,B7E.DE,Blue Cap AG
5,12405,4DS.DE,Daldrup & Soehne AG
6,12406,LIK.DE,Limes Schlosskliniken AG
7,12407,SYT.DE,Softing AG
8,12408,O3P.DE,Oesterreichische Post AG
9,12409,CEA.DE,Friwo AG
10,12410,PGN.DE,Paragon GmbH & Co KGaA
11,12411,E4C.DE,Ecotel Communication AG
12,12412,N4G0.DE,Naga Group AG
13,12413,SYZ.DE,Syzygy AG
14,12414,SHWK.DE,SHS Viveon AG
15,12415,MA10.DE,Binect AG
16,12416,81D.DE,Beaconsmind AG
17,12417,FC9.DE,FCR Immobilien AG
18,12418,NN6.DE,NanoRepro AG
19,12419,2INV.DE,2Invest AG
20,12420,FPH.DE,Francotyp Postalia Holding AG
21,12421,SLL.DE,Schoeller-Bleckmann Oilfield Equipment AG
22,12422,CA1.DE,Circus SE
23,12423,MS1.DE,Marley Spoon Group SE
24,12424,SNG.DE,Singulus Technologies AG
25,12425,SVE.DE,Shareholder Value Beteiligungen AG
26,12426,DLX.DE,Delignit AG
27,12427,B4B3.DE,METRO AG
28,12428,GMM.DE,Grammer AG
29,12429,PSG.DE,PharmaSGP Holding SE
30,12430,BST.DE,Bastei Luebbe AG
31,12431,7V0.DE,Darwin AG
32,12432,MSAG.DE,MS Industrie AG
33,12433,R1B.DE,Rubean AG
34,12434,12434,12434
35,12435,H2A.DE,H2APEX Group SCA
36,12436,CYR.DE,Cyan AG
37,12437,BIO.DE,Biotest AG
38,12438,SUR.DE,Surteco Group SE
39,12439,TGHN.DE,Logwin AG SA
40,12440,12440,12440
41,12441,RSL2.DE,R Stahl AG
42,12442,PAL.DE,Pantaflix AG
43,12443,UZU.DE,Uzin Utz SE
44,12444,V3V.DE,Vita 34 AG
45,12445,DAR.DE,Datron AG
46,12446,CFC.DE,UET United Electronic Technology AG
47,12447,3SQ1.DE,AHT Syngas Technology NV
48,12448,ECF.DE,Mountain Alliance AG
49,12449,VEZ.DE,Planethic Group AG
50,12450,UN9.DE,Uniqa Insurance Group AG
51,12451,H9Y.DE,HanseYachts AG
52,12452,HGEA.DE,hGears AG
53,12453,P4N.DE,Polytec Holding AG
54,12454,EDL.DE,Edel SE & Co KgaA
55,12455,APM.DE,Ad Pepper Media International NV
56,12456,BOG.DE,Stock3 AG
57,12457,PWO.DE,PWO AG
58,12458,SLSA.DE,Solutiance AG
59,12459,LMIA.DE,Lion E Mobility AG
60,12460,FRS.DE,Foris AG
61,12461,M3B.DE,Pyramid AG
62,12462,NFN.DE,Nfon AG
63,12463,SEW.DE,Semperit Holding AG
64,12464,DGR.DE,Deutsche Grundstuecksauktionen vormals Berliner Grundstuecksauktionen AG
65,12465,75S.DE,Sdm SE
66,12466,BIG1.DE,Bio-Gate AG
67,12467,MYM.DE,Mayr-Melnhof Karton AG
68,12468,CDZ0.DE,MHP Hotel AG
69,12469,MBK.DE,Merkur Privatbank KGaA
70,12470,XD4.DE,STRABAG SE
71,12471,AMA.DE,Altech Advanced Materials AG
72,12472,EBEN.DE,Aifinyo AG
73,12473,AMI.DE,Medondo Holding AG
74,12474,ART.DE,Artnet AG
75,12475,ACX.DE,bet at home com AG
76,12476,P4O.DE,Plan Optik AG
77,12477,QB7.DE,Quirin Privatbank AG
78,12478,ULC.DE,United Labels AG
79,12479,3ITN.DE,audius SE
80,12480,SWA.DE,Schloss Wachenheim AG
81,12481,NUVA.DE,Noratis AG
82,12482,MLL.DE,Mueller Die lila Logistik SE
83,12483,MBQ.DE,Mobotix AG
84,12484,GME.DE,Geratherm Medical AG
85,12485,ECK.DE,LUDWIG BECK am Rathauseck Textilhaus Feldmeier AG
86,12486,GAI.DE,SGT German Private Equity GmbH & Co KgaA
87,12487,SCE.DE,Schweizer Electronic AG
88,12488,SZ50.DE,Luebke Kelber AG
89,12489,ALG.DE,Albis Leasing AG
90,12490,WFA.DE,Weng Fine Art AG
91,12491,WOLF.DE,Meta Wolf AG
92,12492,IUR.DE,Kap AG
93,12493,M3V.DE,Mevis Medical Solutions AG
94,12494,LSX.DE,Ls Telcom AG
95,12495,BYW.DE,BayWa AG
96,12496,KWG.DE,KHD Humboldt Wedag International AG
97,12497,JZ60.DE,Eigenheim Union 1898 Beteiligungs AG
98,12498,ISHA.DE,Intershop Communications AG
99,12499,ABS2.DE,Porr AG
100,12500,ALI1.DE,Almonty Industries Inc
