n°,id,symbole,nom
1,12601,MT.NV,ArcelorMittal SA
2,12602,REN.NV,RELX PLC
3,12603,INPST.NV,InPost SA
4,12604,FUR.NV,Fugro NV
5,12605,ALLFG.NV,Allfunds Group PLC
6,12606,CVC.NV,CVC Capital Partners PLC
7,12607,BAMNB.NV,Koninklijke BAM Groep NV
8,12608,PHARM.NV,Pharming Group NV
9,12609,HEIJM.NV,Koninklijke Heijmans NV
10,12610,VLK.NV,Van Lanschot Kempen NV
11,12611,HAL.NV,HAL Trust
12,12612,CRBN.NV,Corbion NV
13,12613,CTPNV.NV,Ctp NV
14,12614,ECMPA.NV,Eurocommercial Properties NV
15,12615,VVY.NV,Vivoryon Therapeutics NV
16,12616,CCEP.NV,Coca-Cola Europacific Partners PLC
17,12617,NSI.NV,NSI NV
18,12618,MAREL.NV,Marel hf
19,12619,AVTX.NV,Avantium NV
20,12620,NXFIL.NV,NX Filtration NV
21,12621,BRNL.NV,Brunel International NV
22,12622,EBUS.NV,Ebusco Holding NV
23,12623,FAST.NV,Fastned BV
24,12624,RWI.NV,Renewi PLC
25,12625,THEON.NV,Theon International Plc
26,12626,SLIGR.NV,Sligro Food Group NV
27,12627,NEDAP.NV,Nedap NV
28,12628,FFARM.NV,ForFarmers NV
29,12629,SIFG.NV,Sif Holding NV
30,12630,CA12630,Vastned Retail NV
31,12631,ACOMO.NV,Acomo NV
32,12632,KENDR.NV,Kendrion NV
33,12633,BSGR.NV,B&S Group SA
34,12634,FER.NV,Ferrovial SE
35,12635,CMCOM.NV,CM.com NV
36,12636,12636,12636
37,12637,AXS.NV,Accsys Technologies PLC
38,12638,AZRN.NV,Azerion Group NV
39,12639,VEON.NV,VEON Ltd
40,12640,BAI.NV,BenevolentAI SA
41,12641,VALUE.NV,Value8 NV
42,12642,HOLCO.NV,Holland Colours NV
43,12643,EARTH.NV,Green Earth Group NV
44,12644,NRP.NV,Nepi Rockcastle NV
45,12645,EAS2P.NV,Ease2pay NV
46,12646,REINA.NV,Reinet Investments SCA
47,12647,CABKA.NV,Cabka NV
48,12648,AJAX.NV,AFC Ajax NV
49,12649,CTAC.NV,Ctac NV
50,12650,PBH.NV,PB Holding N.V.
51,12651,MORE.NV,Morefield Group NV
52,12652,BNJ.NV,Banijay Group NV
53,12653,ALX.NV,Alumexx NV
54,12654,NAI.NV,New Amsterdam Invest NV
55,12655,AMUND.NV,Almunda Professionals NV
56,12656,NEDSE.NV,MKB Nedsense NV
57,12657,QEV.NV,SPEAR Investments I BV
58,12658,DIE.BR,DIeteren Group SA
59,12659,dor12659,CMB Tech NV
60,12660,LOTB.BR,Lotus Bakeries NV
61,12661,ELI.BR,Elia Group SA
62,12662,AZE.BR,Azelis Group NV
63,12663,TUB.BR,Financiere de Tubize SA
64,12664,MELE.BR,Melexis NV
65,12665,SHUR.BR,Shurgard Self Storage Ltd
66,12666,KBCA.BR,Kbc Ancora NV
67,12667,BAR.BR,Barco NV
68,12668,XIOR.BR,Xior Student Housing NV
69,12669,BEKB.BR,NV Bekaert SA
70,12670,DEME.BR,DEME Group NV
71,12671,VGP.BR,VGP NV
72,12672,MONT.BR,Montea NV
73,12673,FAGR.BR,Fagron NV
74,12674,CPINV.BR,Care Property Invest NV
75,12675,ONTEX.BR,Ontex Group NV
76,12676,KIN.BR,Kinepolis Group NV
77,12677,GIMB.BR,Gimv NV
78,12678,RET.BR,Retail Estates NV
79,12679,TESB.BR,Tessenderlo Group NV
80,12680,12680,12680
81,12681,BREB.BR,Brederode SA
82,12682,RECT.BR,Recticel NV
83,12683,BPOST.BR,Bpost SA
84,12684,EVS.BR,EVS Broadcast Equipment SA
85,12685,IBAB.BR,Ion Beam Applications SA
86,12686,TITC.BR,Titan SA
87,12687,HYL.BR,Hyloris Pharmaceuticals SA
88,12688,ASCE.BR,Ascencio SA
89,12689,DECB.BR,Deceuninck NV
90,12690,TINC.BR,Tinc NV
91,12691,VAN.BR,Van de Velde NV
92,12692,HOMI.BR,Home Invest Belgium SA
93,12693,AGFB.BR,AGFA Gevaert NV
94,12694,COMB.BR,Compagnie du Bois Sauvage SA
95,12695,NYXH.BR,Nyxoah SA
96,12696,SOLV.BR,Solvac SA
97,12697,ONWD.BR,ONWARD Medical NV
98,12698,IMMO.BR,Compagnie Immobiliere de Belgique
99,12699,EKOP.BR,Ekopak NV
100,12700,WEHB.BR,Wereldhave Belgium NV
