n°,id,symbole,nom
1,11701,MTVW.L,Mountview Estates Plc
2,11702,AOM.L,Activeops Plc
3,11703,11703,11703
4,11704,WATR.L,Water Intelligence Plc
5,11705,MDZ.L,Mediazest Plc
6,11706,AMOI.L,Anemoi International Ltd-Di
7,11707,MII.L,Milton Capital Plc
8,11708,SBDS.L,Silver Bullet Data Services Group P
9,11709,REAT.L,React Group Plc
10,11710,TAB.L,Becket Invest Plc
11,11711,TGR.L,Tirupati Graphite Plc
12,11712,TMOR.L,More Acquisitions Plc
13,11713,SRAD.L,Stelrad Group Plc
14,11714,NTOG.L,Nostra Terra Oil & Gas Co
15,11715,PXEN.L,Prospex Energy Plc
16,11716,ADF.L,Facilities By Adf Plc
17,11717,ANCR.L,Animalcare Group Plc
18,11718,CML.L,Cml Microsystems Plc
19,11719,IKA.L,Ilika Plc
20,11720,XPF.L,Xp Factory Plc
21,11721,RCGH.L,Rc365 Holding Plc
22,11722,LDG.L,Logistics Development Group Plc
23,11723,LIKE.L,Likewise Group Plc
24,11724,RLE.L,Real Estate Investors Plc
25,11725,SAR.L,Sareum Holdings Plc
26,11726,PTY.L,Partway Group Plc
27,11727,OPTI.L,Optibiotix Health Plc
28,11728,FORG.LN,Forgent Plc
29,11729,CTAI.L,Catanae Innovation Plc
30,11730,GUN.L,Gunsynd Plc
31,11731,CTO.L,Tclarke Plc
32,11732,ATOM.L,Atome Plc
33,11733,GEM.L,Gemfields Group Ld
34,11734,AEG.L,Active Energy Group Plc
35,11735,MNRG.L,Metalnrg Plc
36,11736,ECHO.L,Echo Energy Plc
37,11737,IES.L,Invinity Energy Systems Plc
38,11738,CRPR.L,Cropper(James) Plc
39,11739,INSE.L,Inspired Plc
40,11740,KLSO.L,Kelso Group Holdings Plc
41,11741,FAB.L,Fusion Antibodies Plc
42,11742,MAST.L,Mast Energy Developments Plc
43,11743,SOS.L,Sosandar Plc
44,11744,INSP.L,Inspirit Energy Holdings Plc
45,11745,SBSI.L,Schroder Bsc Social Impact Trst Plc
46,11746,POLX.L,Polarean Imaging Plc
47,11747,MOTR.L,Motorpoint Group Plc
48,11748,EML.L,Emmerson Plc
49,11749,CRV.L,Craven House Capital Plc
50,11750,PHAR.L,Pharos Energy Plc
51,11751,IOFI.L,Iofina Plc
52,11752,MIRI.L,Mirriad Advertising Plc
53,11753,Dormant11753,Dormant11753
54,11754,RSG.L,Resolute Mining Limited
55,11755,DWHT.L,Dewhurst Group Plc
56,11756,STAR.L,Star Energy Group Plc
57,11757,PMP.L,Portmeirion Group Plc
58,11758,GATC.L,Gattaca Plc
59,11759,GMET.L,Golden Metal Resources Plc
60,11760,AGTA.L,Agriterra Ltd
61,11761,MKA.L,Mkango Resources Ltd
62,11762,AEP.L,AEP Plantations Plc
63,11763,CMX.L,Catalyst Media Group Plc
64,11764,TERN.L,Tern Plc
65,11765,SCLP.L,Scancell Holdings Plc
66,11766,Dormant11766,Dormant11766
67,11767,FEN.L,Frenkel Topping Group Plc
68,11768,TRX.L,Tissue Regenix Group Plc
69,11769,DVT.L,Davictus Plc
70,11770,OPG.L,Opg Power Ventures Plc
71,11771,VAL.L,Valirx Plc
72,11772,IQAI.L,Iq-Ai Ld
73,11773,PCIP.L,Pci-Pal Plc
74,11774,BMK.L,Benchmark Holdings Plc
75,11775,FMET.L,Fulcrum Metals Plc
76,11776,CAL.L,Capital & Regional Plc
77,11777,CHF.L,Chesterfield Resources Plc
78,11778,Dormant11778,Dormant11778
79,11779,Dormant11779,Dormant11779
80,11780,VRCI.L,Verici Dx Plc
81,11781,THX.L,Thor Explorations Ltd
82,11782,JIM.L,Jarvis Securities Plc
83,11783,SCGL.L,Sealand Capital Galaxy Ltd
84,11784,EXR.L,Engage Xr Holdings Plc
85,11785,DPP.L,Dp Poland Plc
86,11786,Dormant11786,Dormant11786
87,11787,AST.L,Ascent Resources Plc
88,11788,FARN.L,Faron Pharmaceuticals Oy
89,11789,ALK.L,Alkemy Capital Investments Plc
90,11790,GEMR.L,GEM Resources PLC
91,11791,CDFF.L,Cardiff Property Plc
92,11792,PRO.L,ProService Building Services M
93,11793,COG.L,Cambridge Cognition Holdings Plc
94,11794,XLM.L,Xlmedia Plc
95,11795,NWOR.L,National World Plc
96,11796,PMG.L,Parkmead Group (The) Plc
97,11797,PGH.L,Personal Group Holdings Plc
98,11798,AUTG.L,Autins Group Plc
99,11799,BELL.L,Belluscura Plc
100,11800,TAVI.L,Tavistock Investments Plc
