n°,id,symbole,nom
1,3001,EEM,iShares MSCI Emerging Markets ETF
2,3002,GDX,VanEck Vectors Gold Miners ETF
3,3003,EWJ,Ishares MSCI JAPAN ETF
4,3004,XLF,State Street Financial Select Sector SPDR ETF
5,3005,IWM,Ishares Russell 2000 ETF
6,3006,QQQ,Invesco QQQ
7,3007,USO,United States Oil Fund
8,3008,XLE,State Street Energy Select Sector SPDR ETF
9,3009,EFA,iShares MSCI EAFE ETF
10,3010,FXI,iShares China Large-Cap ETF
11,3011,RSX,VanEck Vectors Russia ETF
12,3012,EWZ,Brazil Index MSCI Ishares
13,3013,XLU,State Street Utilities Select Sector SPDR ETF
14,3014,GDXJ,VanEck Vectors Junior Gold Miners ETF
15,3015,IYR,iShares U.S. Real Estate ETF
16,3016,XOP,SPDR S&P Oil & Gas Exploration & Production ETF
17,3017,XLV,State Street Health Care Select Sector SPDR ETF
18,3018,UNG,US Natural Gas
19,3019,XLI,State Street Industrial Select Sector SPDR ETF
20,3020,TLT,iShares 20+ Year Treasury Bond ETF 
21,3021,XLK,State Street Technology Select Sector SPDR ETF
22,3022,XLP,State Street Consumer Staples Select Sector SPDR ETF
23,3023,HYG,Iboxx $ High Yield Corporate Bd Ishares
24,3024,XLY,State Street Consumer Discretionary Select Sector SPDR ETF
25,3025,GLD,SPDR Gold
26,3026,DIA.US,State Street SPDR Dow Jones In
27,3027,SSO,Proshares Ultra S&P 500 
28,3028,IBB,Ishares Nasdaq Biotechnology 
29,3029,MDY, State Street SPDR S&P MidCap 400 ETF Trust
30,3030,LQDE.L,iShares $ Corporate Bond UCITS ETF
31,3031,TPRO.MI,Technoprobe S.P.A
32,3032,BC.MI,Brunello Cucinelli S.p.A.
33,3033,ICOP.MI,ICoP SpA SB Societa Benefit
34,3034,CBU5.DE,iShares iBonds Dec 2028 Term $ Corp UCITS ETF
35,3035,IAEX.L,iShares AEX UCITS ETF
36,3036,IAPD.L,iShares Asia Pacific Dividend UCITS ETF
37,3037,4IG.BD,4iG Nyrt
38,3038,AKKO.BD,AKKO Invest Nyrt
39,3039,ALTEO.BD,ALTEO Energy Services Public Limited Company
40,3040,SWDA.L,iShares Core MSCI World UCITS ETF
41,3041,IB26.DE,iShares iBonds Dec 2026 Term Corp UCITS ETF
42,3042,IB28.DE,iShares iBonds Dec 2028 Term Corp UCITS ETF
43,3043,QDVP.DE,iShares US Mortgage Backed Securities UCITS ETF
44,3044,DSFIR.NV,DSM-FIRMENICH AG
45,3045,BFIT.NV,Basic-Fit N.V
46,3046,APAM.NV,Aperam S.A
47,3047,ALFEN.NV,Alfen N.V
48,3048,IEML.L,iShares J.P. Morgan EM Local Govt Bond UCITS ETF 
49,3049,UMG.NV,Universal Music Group N.V
50,3050,HDLV.DE,Invesco S&P 500 High Dividend Low Volatility UCITS ETF
51,3051,DXS3.DE,Xtrackers S&P 500 Inverse Daily Swap UCITS ETF
52,3052,ISF.L,iShares Core FTSE 100 UCITS ETF (Dist)
53,3053,PLX.PA,Pluxee France SA
54,3054,IMIB.L,iShares FTSE MIB UCITS ETF (Dist)
55,3055,EXO.NV,Exor NV
56,3056,ICGB.DE22,iShares China CNY Bond UCITS ETF22
57,3057,IS3F.DE,iShares Corp Bond Interest Rate Hedged UCITS ETF
58,3058,SEMB.L,iShares J.P. Morgan $ Emerging Markets Bond UCITS ETF
59,3059,IS3L.DE,iShares Ultrashort Bond UCITS ETF
60,3060,IFFF.L,iShares MSCI AC Far East ex-Japan UCITS ETF
61,3061,IBZL.L,iShares MSCI Brazil UCITS ETF (Dist)
62,3062,IS0Q.DE,iShares V PLC - iShares J.P. Morgan EM Corp Bond UCITS ETF
63,3063,IDEM.L,iShares MSCI Emerging Markets UCITS ETF (Dist)
64,3064,EDMU.DE,iShares MSCI USA ESG Enhanced UCITS ETF
65,3065,IQQ6.DE,iShares Developed Markets Property Yield UCITS ETF
66,3066,IMEU.L,iShares MSCI Europe UCITS ETF (Dist)
67,3067,CAVEN.OL,Cavendish Hydrogen ASA
68,3068,IJPE.L,iShares MSCI Japan EUR Hedged UCITS ETF
69,3069,SOMA.OL,Solstad Maritime Holding AS
70,3070,CA307.OL,CA307
71,3071,CA308.OL,CA308
72,3072,ITWN.L,iShares MSCI Taiwan UCITS ETF
73,3073,CA309.OL,CA309
74,3074,CA310.OL,CA310
75,3075,IUSA.L,iShares S&P 500 UCITS ETF (Dist)
76,3076,CA311.OL,CA311
77,3077,CA312.OL,CA312
78,3078,CA313.OL,CA313
79,3079,IUKP.L,iShares UK Property UCITS ETF
80,3080,VXXOLD,BARCLAYS BANK IPATH S&P 500 VIX S/T FU ETN
81,3081,3081,3081
82,3082,3082,3082
83,3083,3083,3083
84,3084,3084,3084
85,3085,3085,3085
86,3086,3086,3086
87,3087,3087,3087
88,3088,3088,3088
