n°,id,symbole,nom
1,1901,JNPR,Juniper Networks Inc
2,1902,AJG,Arthur J.Gallagher & Co
3,1903,ENOV,Enovis Corp
4,1904,1904,1904
5,1905,MTZ,MasTec Inc
6,1906,LRCX,Lam Research Corp
7,1907,AXLL,Axiall Corp
8,1908,1908,1908
9,1909,CTAS,Cintas Corp
10,1910,COTY,Coty Inc
11,1911,ANDE,Andersons Inc
12,1912,VAL,Valspar Corp
13,1913,NTRS,Northern Trust Corp
14,1914,INTU,Intuit Inc
15,1915,TPC,Tutor Perini Corp
16,1916,PII,Polaris Industries Inc
17,1917,RACE,Ferrari NV
18,1918,NVR,NVR Inc
19,1919,FWONA,Liberty Media Formula One Corp Series A 
20,1920,ENR,Energizer Holdings Inc
21,1921,BLMN,Bloomin Brands Inc
22,1922,WLK,Westlake Chemical Corp
23,1923,H.US,Hyatt Hotels Corp
24,1924,MJN,Mead Johnson Nutrition Co
25,1925,EVHC,Envision Healthcare Holdings Inc
26,1926,FBIN,Fortune Brands Innovations Inc
27,1927,RPM,RPM International Inc
28,1928,VWR,VWR Corp
29,1929,1929,1929
30,1930,KEY,KeyCorp
31,1931,KNX,Knight-Swift Transportation Holdings Inc.
32,1932,AGN,Allergan PLC
33,1933,HAS,Hasbro Inc
34,1934,RFP,Resolute Forest Products Inc
35,1935,TIF,Tiffany & Co
36,1936,MKC,McCormick & Co Inc
37,1937,GPK,Graphic Packaging Holding Co
38,1938,GEF,Greif Inc
39,1939,ATI,ATI Inc
40,1940,BEAV,B/E Aerospace Inc
41,1941,TAP,Molson Coors Brewing Co
42,1942,CA162.L,CA162
43,1943,CNO,CNO Financial Group Inc
44,1944,1944,1944
45,1945,CMG,Chipotle Mexican Grill Inc
46,1946,AMT,American Tower Corp
47,1947,CA164.L,CA164
48,1948,AFSI,AmTrust Financial Services Inc
49,1949,BC,Brunswick Corp
50,1950,PDCO,Patterson Companies Inc
51,1951,SWN,Southwestern Energy Co
52,1952,AME,AMETEK Inc
53,1953,TROW,T Rowe Price Group Inc
54,1954,GL,Globe Life Inc
55,1955,DAR,Darling Ingredients Inc
56,1956,LEG,Leggett & Platt Inc
57,1957,WSO,Watsco Inc
58,1958,CEQP,Crestwood Equity Partners LP
59,1959,XYL,Xylem Inc
60,1960,SLGN,Silgan Holdings Inc
61,1961,TOL,Toll Brothers Inc
62,1962,MTW,Manitowoc Co Inc
63,1963,ARGO,Argo Group
64,1964,ARG,Airgas Inc
65,1965,GNC,GNC Holdings Inc
66,1966,MAR,Marriott International Inc
67,1967,XYZ,Block Inc.
68,1968,MTCH,"Match Group, Inc"
69,1969,SEDG,SolarEdge Technologies
70,1970,FIT,Fitbit
71,1971,NTDOY,Nintendo CO Ltd-ADR
72,1972,REGN,Regeneron Pharmaceuticals Inc
73,1973,SGMO,Sangamo Therapeutics Inc
74,1974,NTLA,Intellia Therapeutics Inc
75,1975,EDIT,Editas Medicine Inc
76,1976,MS,Morgan Stanley
77,1977,CLLS,Cellectis SA-ADR
78,1978,RMS.PA,Hermes International
79,1979,SNAP,Snapchat Inc
80,1980,EVO.ST,Evolution AB 
81,1981,ATCO-B.ST,Atlas Copco AB ser. B
82,1982,SINCH.ST,Sinch AB
83,1983,SKF-B.ST,SKF AB Class B
84,1984,ELUXB.ST,AB Electrolux Class B
85,1985,SCAB.ST,  Svenska Cellulosa Aktiebolaget SCA
86,1986,KINVB.ST,Kinnevik AB Class B
87,1987,BETSB.ST,Betsson AB Class B
88,1988,IBCK.DE11,iShares Edge S&P 500 Minimum Volatility UCITS ETF11
89,1989,SOI.PA,Soitec S.A.
90,1990,SXRG.DE11,iShares MSCI USA Small Cap ESG Enhanced UCITS ETF USD11
91,1991,SXR7.DE11,iShares Core MSCI EMU UCITS ETF EUR11
92,1992,EUN0.DE11,iShares Edge MSCI Europe Minimum Volatility UCITS ETF11
