n°,id,symbole,nom
1,11301,TET.L,Treatt Plc
2,11302,PRSR.L,Prs Reit (The) Plc
3,11303,ORR.L,Oriole Resources Plc
4,11304,SLP.L,Sylvania Platinum Limited
5,11305,CEG.L,Challenger Energy Group Plc
6,11306,WJG.L,Watkin Jones Plc
7,11307,PAF.L,Pan African Resources Plc
8,11308,ATYM.L,Atalaya Mining Plc
9,11309,ASIA.L,Asia Strategic Holdings Ltd
10,11310,IQG.L,Iqgeo Group Plc
11,11311,ZEG.L,Zegona Communications Plc
12,11312,BOKU.L,"Boku, Inc."
13,11313,ANGS.L,Angus Energy Plc
14,11314,MAB1.L,Mortgage Advice Bureau (Hldgs) Plc
15,11315,TM1.L,Technology Minerals Plc
16,11316,PXS.L,Provexis Plc
17,11317,EQLS.L,Equals Group Plc
18,11318,TRI.L,Trifast Plc
19,11319,KAV.L,Kavango Resources Plc
20,11320,SYN.L,Synergia Energy Ltd
21,11321,FRP.L,Frp Advisory Group Plc
22,11322,UFO.L,Alien Metals Ltd-Di
23,11323,BCE.L,Beacon Energy Plc
24,11324,NIOX.L,Niox Group Plc
25,11325,CREI.L,Custodian Property Income Reit Plc
26,11326,HVTA.L,Heavitree Brewery Plc -Cl A
27,11327,WIL.L,Wilmington Plc
28,11328,W7L.L,Warpaint London Plc
29,11329,MACF.L,Macfarlane Group Plc
30,11330,IKIV.L,Ikigai Ventures Ltd
31,11331,XTR.L,Xtract Resources Plc
32,11332,SOM.L,Somero Enterprise Inc
33,11333,FDEV.L,Frontier Developments Plc
34,11334,EOG.L,Europa Oil & Gas Holdings
35,11335,VID.L,Videndum Plc
36,11336,ALFA.L,Alfa Financial Software Holdings Pl
37,11337,FORT.L,Forterra Plc
38,11338,NEO.L,Neo Energy Metals Plc
39,11339,CHRT.L,Cohort Plc
40,11340,HAYD.L,Haydale Graphene Industries
41,11341,GLE.L,Mj Gleeson Plc
42,11342,BLOE.L,Block Energy Plc
43,11343,CRCL.L,Corcel Plc
44,11344,EME.L,Empyrean Energy Plc
45,11345,RST.L,Restore Plc
46,11346,GYM.L,The Gym Group Plc
47,11347,HEMO.L,Hemogenyx Pharmaceuticals Plc
48,11348,RBD.L,Reabold Resources Plc
49,11349,HSP.L,Hargreaves Services Plc
50,11350,RNO.L,Renold Plc
51,11351,AVON.L,Avon Protection Plc
52,11352,KETL.L,Strix Group Plc
53,11353,OXB.L,OXB
54,11354,GMS.L,Gulf Marine Services Plc
55,11355,BRCK.L,BRCK Group PLC
56,11356,ATN.L,Aterian Plc
57,11357,AMP.L,Ampeak Energy Ltd
58,11358,FUM.L,Futura Medical Plc
59,11359,MIN.L,Minoan Group Plc
60,11360,TTG.L,Tt Electronics Plc
61,11361,RFG.L,Roebuck Food Group Plc
62,11362,GVCT.L,Guinness Vct Plc
63,11363,FCH.L,Funding Circle Holdings Plc
64,11364,ABDP.L,Ab Dynamics Plc
65,11365,IDOX.L,Idox Plc
66,11366,ZTF.L,Zotefoams Plc
67,11367,SDY.L,Speedy Hire Plc
68,11368,PRD.L,Predator Oil & Gas Holdings Plc
69,11369,HAT.L,H&T Group Plc
70,11370,ALBA.L,Alba Mineral Resources Plc
71,11371,YNGA.L,Young & CoS Brewery Plc
72,11372,LUCE.L,Luceco Plc
73,11373,COBR.L,Cobra Resources Plc
74,11374,WCAT.L,Wildcat Petroleum Plc
75,11375,AFC.L,Afc Energy Plc
76,11376,ROCK.L,Rockfire Resources Plc
77,11377,DIS.L,Distil Plc
78,11378,ECR.L,Ecr Minerals Plc
79,11379,KZG.L,Kazera Global Plc
80,11380,LABS.L,Life Science Reit Plc
81,11381,AET.L,Afentra Plc
82,11382,RWA.L,Robert Walters Plc
83,11383,MCB.L,Mcbride Plc
84,11384,KIST.L,Kistos Holdings Plc
85,11385,BMY.L,Bloomsbury Publishing Plc
86,11386,BGO.L,Bango Plc
87,11387,AEWU.L,Aew Uk Reit Plc
88,11388,COST.L,Costain Group Plc
89,11389,FSTA.L,"Fuller,Smith & Turner Plc"
90,11390,BOOT.L,Boot (Henry) Plc
91,11391,EYE.L,Eagle Eye Solutions Group Plc
92,11392,ACP.L,Armadale Capital Plc
93,11393,LOK.L,LokN Store Group Plc
94,11394,SBRE.L,Sabre Insurance Group Plc
95,11395,SOHO.L,Triple Point Social Housing Reit Pl
96,11396,PPH.L,Pphe Hotel Group Ld
97,11397,JAY.L,Bluejay Mining Plc
98,11398,CRTA.L,Cirata Plc
99,11399,APH.L,Alliance Pharma Plc
100,11400,CREO.L,Creo Medical Group Plc
