n°,id,symbole,nom
1,12001,TGP.L,Tekmar Group Plc
2,12002,FA..L,Fireangel Safety Technology Group
3,12003,FME.L,Future Metals Nl
4,12004,IGE.L,Image Scan Holdings Plc
5,12005,RTC.L,Rtc Group Plc
6,12006,TST.L,Touchstar Plc
7,12007,GSCU.L,Great Southern Copper Plc
8,12008,BAY.L,Bay Capital Plc
9,12009,IXI.L,Ixico Plc
10,12010,PPP.L,Pennpetro Energy Plc
11,12011,SLNG.L,Slingsby(H.C.) Plc
12,12012,AURR.L,Aurrigo International Plc
13,12013,SAL.L,Spaceandpeople Plc
14,12014,OBI.L,Ondine Biomedical Inc.
15,12015,IX..L,I(X) Net Zero Plc
16,12016,NGHT.L,Nightcap Plc
17,12017,AIEA.L,Airea Plc
18,12018,TLOU.L,Tlou Energy Limited
19,12019,MFX.L,Manx Financial Group Plc
20,12020,ZAM.L,Zambeef Products Plc
21,12021,1SN.L,First Tin Plc
22,12022,SCHO.L,Scholium Group Plc
23,12023,BAR.L,Brand Architekts Group Plc
24,12024,WEB.L,Webis Holdings Plc
25,12025,Dormant12025,Dormant12025
26,12026,RBN.L,Robinson Plc
27,12027,PEB.L,Pebble Beach Systems Group Plc
28,12028,PEG.L,Petards Group Plc
29,12029,DBOX.L,Digitalbox Plc
30,12030,SSTY.L,Safestay Plc
31,12031,NEXS.L,Nexus Infrastructure Plc
32,12032,Dormant12032,Dormant12032
33,12033,TRLS.L,Trellus Health Plc
34,12034,CNN.L,Caledonian Trust Plc
35,12035,SENX.L,Serinus Energy Plc
36,12036,NBB.L,Norman Broadbent Plc
37,12037,MSYS.L,Microsaic Systems Plc
38,12038,ASAI.L,Asa International Group Plc
39,12039,BISI.L,Bisichi Plc
40,12040,MCM.L,Mc Mining Ld
41,12041,CGNR.L,Conroy Gold & Natural Resources Plc
42,12042,MUL.L,Mulberry Group Plc
43,12043,GSC.L,Gs Chain Plc
44,12044,JAN.L,Jangada Mines Plc
45,12045,OHT.L,Ocean Harvest Technology Group Plc
46,12046,MRIT.L,Merit Group Plc
47,12047,TON.L,Titon Hldgs Plc
48,12048,COM.L,Comptoir Group Plc
49,12049,WINK.L,M Winkworth Plc
50,12050,SKL.L,Skillcast Group Plc
51,12051,GUS.L,Gusbourne Plc
52,12052,OMIP.L,One Media Ip Group Plc
53,12053,BRH.L,Braveheart Investment Group Plc
54,12054,MAFL.L,Mineral & Financial Investments Ld
55,12055,FRG.L,Firering Strategic Minerals Plc
56,12056,ASHI.L,Ashington Innovation Plc
57,12057,REDC.L,Red Capital Plc
58,12058,WCW.L,Walker Crips Group Plc
59,12059,CAD.L,Cadogan Energy Solutions Plc
60,12060,HMI.L,Harvest Minerals Limited
61,12061,STG.L,Strip Tinning Holdings Plc
62,12062,GENI.L,Genincode Plc
63,12063,THR.L,Thor Energy Plc
64,12064,PROC.L,Procook Group Plc
65,12065,AUK.L,Aukett Swanke Group Plc
66,12066,CPP.L,Cppgroup Plc
67,12067,PPS.L,Proton Motor Power Systems Plc
68,12068,REE.L,Altona Rare Earths Plc
69,12069,LFI.L,London Finance And Invest. Grp Plc
70,12070,CAR.L,Carclo Plc
71,12071,AJAX.L,Ajax Resources Plc
72,12072,FADL.L,"Fadel Partners, Inc."
73,12073,QUIZ.L,Quiz Plc
74,12074,TRYB.L,Tribe Technology Plc
75,12075,PRM.L,Proteome Sciences Plc
76,12076,KWG.L,Kingswood Holdings Limited
77,12077,THRU.L,Thruvision Group Plc
78,12078,ECOB.L,Eco Buildings Group Plc
79,12079,MIND.L,Mind Gym Plc
80,12080,NTQ.L,Enteq Technologies Plc
81,12081,THAL.L,Thalassa Holdings Ld
82,12082,GELN.L,Gelion Plc
83,12083,WSG.L,Westminster Group Plc
84,12084,FIH.L,Fih Group Plc
85,12085,MET1.L,Metals One Plc
86,12086,PIP.L,Pipehawk Plc
87,12087,KDR.L,Karelian Diamond Resources Plc
88,12088,BMTO.L,Braime Group Plc
89,12089,BIOM.L,Biome Technologies Plc
90,12090,WHI.L,W.H. Ireland Group Plc
91,12091,LIFS.L,Lifesafe Holdings Plc
92,12092,NMT.L,Neometals Ltd
93,12093,TAN.L,Tanfield Group Plc
94,12094,HSM.L,Heath(Samuel)& Sons Plc
95,12095,ZNT.L,Zentra Group PLC
96,12096,CORA.L,Cora Gold Limited
97,12097,LAS.L,London & Assoc Properties Plc
98,12098,SUH.L,Sutton Harbour Group Plc
99,12099,MAC.L,Marechale Capital Plc
100,12100,AFN.L,Advfn Plc
